itlCode,itlName,year,gvaMillionGbp,gdpMillionGbp
TLC,North East,1998,28817,32636
TLC,North East,1999,29252,33335
TLC,North East,2000,30140,34399
TLC,North East,2001,31410,35915
TLC,North East,2002,33536,38212
TLC,North East,2003,35461,40333
TLC,North East,2004,38415,43525
TLC,North East,2005,40232,45490
TLC,North East,2006,42379,47789
TLC,North East,2007,43248,49023
TLC,North East,2008,44424,50154
TLC,North East,2009,44217,49430
TLC,North East,2010,44838,50666
TLC,North East,2011,45621,52159
TLC,North East,2012,46772,53504
TLC,North East,2013,47447,54453
TLC,North East,2014,48865,56090
TLC,North East,2015,50570,58007
TLC,North East,2016,51319,59071
TLC,North East,2017,52719,60848
TLC,North East,2018,53545,62146
TLC,North East,2019,56060,64737
TLC,North East,2020,52695,60097
TLC,North East,2021,57240,65356
TLC,North East,2022,62364,71092
TLC,North East,2023,68891,77498
TLD,North West,1998,88083,99271
TLD,North West,1999,92290,104292
TLD,North West,2000,94655,107131
TLD,North West,2001,100553,113236
TLD,North West,2002,105245,118534
TLD,North West,2003,111059,125144
TLD,North West,2004,117278,132246
TLD,North West,2005,123348,138665
TLD,North West,2006,130397,146037
TLD,North West,2007,135269,151639
TLD,North West,2008,138451,154707
TLD,North West,2009,137614,152663
TLD,North West,2010,140494,157631
TLD,North West,2011,141439,160618
TLD,North West,2012,145795,165269
TLD,North West,2013,150838,171131
TLD,North West,2014,156789,178027
TLD,North West,2015,162866,184622
TLD,North West,2016,168631,191471
TLD,North West,2017,176803,200376
TLD,North West,2018,181321,205401
TLD,North West,2019,190043,214716
TLD,North West,2020,185588,207322
TLD,North West,2021,199341,224499
TLD,North West,2022,221845,249369
TLD,North West,2023,243386,270833
TLE,Yorkshire and The Humber,1998,62629,70456
TLE,Yorkshire and The Humber,1999,64589,73001
TLE,Yorkshire and The Humber,2000,66857,75576
TLE,Yorkshire and The Humber,2001,70287,79082
TLE,Yorkshire and The Humber,2002,74249,83370
TLE,Yorkshire and The Humber,2003,79307,88989
TLE,Yorkshire and The Humber,2004,83787,94240
TLE,Yorkshire and The Humber,2005,88017,98871
TLE,Yorkshire and The Humber,2006,92396,103602
TLE,Yorkshire and The Humber,2007,97660,109275
TLE,Yorkshire and The Humber,2008,99000,110464
TLE,Yorkshire and The Humber,2009,97143,107464
TLE,Yorkshire and The Humber,2010,97826,109661
TLE,Yorkshire and The Humber,2011,99400,112813
TLE,Yorkshire and The Humber,2012,101772,115506
TLE,Yorkshire and The Humber,2013,104433,118796
TLE,Yorkshire and The Humber,2014,107643,122794
