itlCode,itlName,year,gvaMillionGbp,gdpMillionGbp
TLC31,Hartlepool and Stockton-on-Tees,1998,3317,3739
TLC31,Hartlepool and Stockton-on-Tees,1999,3468,3921
TLC31,Hartlepool and Stockton-on-Tees,2000,3558,4033
TLC31,Hartlepool and Stockton-on-Tees,2001,3586,4093
TLC31,Hartlepool and Stockton-on-Tees,2002,3786,4314
TLC31,Hartlepool and Stockton-on-Tees,2003,4054,4606
TLC31,Hartlepool and Stockton-on-Tees,2004,4344,4922
TLC31,Hartlepool and Stockton-on-Tees,2005,4497,5092
TLC31,Hartlepool and Stockton-on-Tees,2006,4818,5430
TLC31,Hartlepool and Stockton-on-Tees,2007,5070,5722
TLC31,Hartlepool and Stockton-on-Tees,2008,5168,5811
TLC31,Hartlepool and Stockton-on-Tees,2009,5309,5892
TLC31,Hartlepool and Stockton-on-Tees,2010,5296,5951
TLC31,Hartlepool and Stockton-on-Tees,2011,5317,6043
TLC31,Hartlepool and Stockton-on-Tees,2012,5417,6162
TLC31,Hartlepool and Stockton-on-Tees,2013,5650,6389
TLC31,Hartlepool and Stockton-on-Tees,2014,5756,6537
TLC31,Hartlepool and Stockton-on-Tees,2015,6104,6917
TLC31,Hartlepool and Stockton-on-Tees,2016,6285,7136
TLC31,Hartlepool and Stockton-on-Tees,2017,6222,7111
TLC31,Hartlepool and Stockton-on-Tees,2018,6268,7192
TLC31,Hartlepool and Stockton-on-Tees,2019,6593,7532
TLC31,Hartlepool and Stockton-on-Tees,2020,6548,7387
TLC31,Hartlepool and Stockton-on-Tees,2021,6800,7748
TLC31,Hartlepool and Stockton-on-Tees,2022,7398,8380
TLC31,Hartlepool and Stockton-on-Tees,2023,7727,8665
TLC32,South Teesside,1998,2733,3163
TLC32,South Teesside,1999,2809,3266
TLC32,South Teesside,2000,2885,3359
TLC32,South Teesside,2001,2867,3365
TLC32,South Teesside,2002,2965,3482
TLC32,South Teesside,2003,3208,3749
TLC32,South Teesside,2004,3380,3945
TLC32,South Teesside,2005,3560,4134
TLC32,South Teesside,2006,3713,4298
TLC32,South Teesside,2007,3791,4407
TLC32,South Teesside,2008,3971,4586
TLC32,South Teesside,2009,3989,4550
TLC32,South Teesside,2010,3991,4617
TLC32,South Teesside,2011,4054,4745
TLC32,South Teesside,2012,4109,4821
TLC32,South Teesside,2013,4135,4833
TLC32,South Teesside,2014,4267,4997
TLC32,South Teesside,2015,4414,5183
TLC32,South Teesside,2016,4453,5257
TLC32,South Teesside,2017,4471,5314
TLC32,South Teesside,2018,4746,5616
TLC32,South Teesside,2019,4809,5707
TLC32,South Teesside,2020,4581,5369
