Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E06000047,County Durham,Male,77.15
2020 to 2022,England,Local Areas,E06000047,County Durham,Female,80.43
2020 to 2022,England,Local Areas,E06000049,Cheshire East,Male,80.22
2020 to 2022,England,Local Areas,E06000049,Cheshire East,Female,83.55
2020 to 2022,England,Local Areas,E06000050,Cheshire West and Chester,Male,79.37
2020 to 2022,England,Local Areas,E06000050,Cheshire West and Chester,Female,83.51
2020 to 2022,England,Local Areas,E06000051,Shropshire,Male,79.75
2020 to 2022,England,Local Areas,E06000051,Shropshire,Female,83.86
2020 to 2022,England,Local Areas,E06000052,Cornwall,Male,79.55
2020 to 2022,England,Local Areas,E06000052,Cornwall,Female,83.46
2020 to 2022,England,Local Areas,E06000054,Wiltshire,Male,80.88
2020 to 2022,England,Local Areas,E06000054,Wiltshire,Female,84.34
2020 to 2022,England,Local Areas,E06000055,Bedford,Male,78.6
2020 to 2022,England,Local Areas,E06000055,Bedford,Female,82.67
2020 to 2022,England,Local Areas,E06000056,Central Bedfordshire,Male,80.33
2020 to 2022,England,Local Areas,E06000056,Central Bedfordshire,Female,83.68
2020 to 2022,England,Local Areas,E06000057,Northumberland,Male,78.79
2020 to 2022,England,Local Areas,E06000057,Northumberland,Female,82.92
2020 to 2022,England,Local Areas,E06000058,"Bournemouth, Christchurch and Poole",Male,79.44
2020 to 2022,England,Local Areas,E06000058,"Bournemouth, Christchurch and Poole",Female,83.54
2020 to 2022,England,Local Areas,E06000059,Dorset,Male,80.83
2020 to 2022,England,Local Areas,E06000059,Dorset,Female,84.9
2020 to 2022,England,Local Areas,E06000060,Buckinghamshire,Male,81.04
2020 to 2022,England,Local Areas,E06000060,Buckinghamshire,Female,84.49
2020 to 2022,England,Local Areas,E06000061,North Northamptonshire,Male,78.8
2020 to 2022,England,Local Areas,E06000061,North Northamptonshire,Female,82.24
2020 to 2022,England,Local Areas,E06000062,West Northamptonshire,Male,79.55
2020 to 2022,England,Local Areas,E06000062,West Northamptonshire,Female,83.01
2020 to 2022,England,Local Areas,E07000008,Cambridge,Male,80.83
2020 to 2022,England,Local Areas,E07000008,Cambridge,Female,84.15
2020 to 2022,England,Local Areas,E07000009,East Cambridgeshire,Male,81.52
2020 to 2022,England,Local Areas,E07000009,East Cambridgeshire,Female,84.17
2020 to 2022,England,Local Areas,E07000010,Fenland,Male,77.53
2020 to 2022,England,Local Areas,E07000010,Fenland,Female,82
2020 to 2022,England,Local Areas,E07000011,Huntingdonshire,Male,80.67
2020 to 2022,England,Local Areas,E07000011,Huntingdonshire,Female,83.86
2020 to 2022,England,Local Areas,E07000012,South Cambridgeshire,Male,82.65
2020 to 2022,England,Local Areas,E07000012,South Cambridgeshire,Female,85.4
2020 to 2022,England,Local Areas,E07000026,Allerdale,Male,77.13
2020 to 2022,England,Local Areas,E07000026,Allerdale,Female,82.08
2020 to 2022,England,Local Areas,E07000027,Barrow-in-Furness,Male,76.32
2020 to 2022,England,Local Areas,E07000027,Barrow-in-Furness,Female,79.81
