Location,Premise type,Rurality,Speed,% Premises,Premises,Date
Scotland,Commercial,Rural,>=300 Mbit/s,31.5,14588,Jul-25
Scotland,Commercial,Rural,Full Fibre,31.2,14438,Jul-25
Scotland,Commercial,Rural,Gigabit capable,31.3,14502,Jul-25
Wales,All,Total,Premise Base,100,1569380,Jul-25
Wales,All,Total,Unclassified,0.4,5629,Jul-25
Wales,All,Total,<2 Mbit/s,0.4,6408,Jul-25
Wales,All,Total,<10 Mbit/s DL or <1 Mbit/s UL,2,32020,Jul-25
Wales,All,Total,>=10 Mbit/s,98.1,1538930,Jul-25
Wales,All,Total,>=24 Mbit/s,96.7,1517497,Jul-25
Wales,All,Total,>=30 Mbit/s,96.3,1511340,Jul-25
Wales,All,Total,>=100 Mbit/s,79.9,1254662,Jul-25
Wales,All,Total,>=300 Mbit/s,79.5,1247824,Jul-25
Wales,All,Total,Full Fibre,76.2,1195352,Jul-25
Wales,All,Total,Gigabit capable,79.1,1242114,Jul-25
Wales,All,Urban,Premise Base,100,1210007,Jul-25
Wales,All,Urban,Unclassified,0.3,3449,Jul-25
Wales,All,Urban,<2 Mbit/s,0,354,Jul-25
Wales,All,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.5,6570,Jul-25
Wales,All,Urban,>=10 Mbit/s,99.5,1203783,Jul-25
Wales,All,Urban,>=24 Mbit/s,98.9,1196851,Jul-25
Wales,All,Urban,>=30 Mbit/s,98.8,1195172,Jul-25
Wales,All,Urban,>=100 Mbit/s,86.4,1045908,Jul-25
Wales,All,Urban,>=300 Mbit/s,85.9,1039651,Jul-25
Wales,All,Urban,Full Fibre,81.6,987732,Jul-25
Wales,All,Urban,Gigabit capable,85.5,1034302,Jul-25
Wales,All,Rural,Premise Base,100,359373,Jul-25
Wales,All,Rural,Unclassified,0.6,2180,Jul-25
Wales,All,Rural,<2 Mbit/s,1.7,6054,Jul-25
Wales,All,Rural,<10 Mbit/s DL or <1 Mbit/s UL,7.1,25450,Jul-25
Wales,All,Rural,>=10 Mbit/s,93.3,335147,Jul-25
Wales,All,Rural,>=24 Mbit/s,89.2,320646,Jul-25
Wales,All,Rural,>=30 Mbit/s,88,316168,Jul-25
Wales,All,Rural,>=100 Mbit/s,58.1,208754,Jul-25
Wales,All,Rural,>=300 Mbit/s,57.9,208173,Jul-25
Wales,All,Rural,Full Fibre,57.8,207620,Jul-25
Wales,All,Rural,Gigabit capable,57.8,207812,Jul-25
Wales,Residential,Total,Premise Base,100,1461536,Jul-25
Wales,Residential,Total,Unclassified,0.3,4071,Jul-25
Wales,Residential,Total,<2 Mbit/s,0.4,5501,Jul-25
Wales,Residential,Total,<10 Mbit/s DL or <1 Mbit/s UL,1.7,24979,Jul-25
Wales,Residential,Total,>=10 Mbit/s,98.4,1437657,Jul-25
Wales,Residential,Total,>=24 Mbit/s,97.3,1421393,Jul-25
Wales,Residential,Total,>=30 Mbit/s,96.9,1416057,Jul-25
Wales,Residential,Total,>=100 Mbit/s,81.7,1194186,Jul-25
Wales,Residential,Total,>=300 Mbit/s,81.3,1188309,Jul-25
Wales,Residential,Total,Full Fibre,77.9,1138094,Jul-25
Wales,Residential,Total,Gigabit capable,81,1183690,Jul-25
Wales,Residential,Urban,Premise Base,100,1130441,Jul-25
Wales,Residential,Urban,Unclassified,0.2,2322,Jul-25
Wales,Residential,Urban,<2 Mbit/s,0,140,Jul-25
Wales,Residential,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.3,3321,Jul-25
Wales,Residential,Urban,>=10 Mbit/s,99.7,1127218,Jul-25
Wales,Residential,Urban,>=24 Mbit/s,99.4,1123547,Jul-25
Wales,Residential,Urban,>=30 Mbit/s,99.3,1122228,Jul-25
Wales,Residential,Urban,>=100 Mbit/s,88.2,997613,Jul-25
Wales,Residential,Urban,>=300 Mbit/s,87.8,992289,Jul-25
Wales,Residential,Urban,Full Fibre,83.4,942601,Jul-25
Wales,Residential,Urban,Gigabit capable,87.4,988006,Jul-25
Wales,Residential,Rural,Premise Base,100,331095,Jul-25
Wales,Residential,Rural,Unclassified,0.5,1749,Jul-25
Wales,Residential,Rural,<2 Mbit/s,1.6,5361,Jul-25
Wales,Residential,Rural,<10 Mbit/s DL or <1 Mbit/s UL,6.5,21658,Jul-25
Wales,Residential,Rural,>=10 Mbit/s,93.8,310439,Jul-25
Wales,Residential,Rural,>=24 Mbit/s,90,297846,Jul-25
Wales,Residential,Rural,>=30 Mbit/s,88.7,293829,Jul-25
Wales,Residential,Rural,>=100 Mbit/s,59.4,196573,Jul-25
Wales,Residential,Rural,>=300 Mbit/s,59.2,196020,Jul-25
Wales,Residential,Rural,Full Fibre,59,195493,Jul-25
Wales,Residential,Rural,Gigabit capable,59.1,195684,Jul-25
Wales,Commercial,Total,Premise Base,100,107844,Jul-25
Wales,Commercial,Total,Unclassified,1.4,1558,Jul-25
Wales,Commercial,Total,<2 Mbit/s,0.8,907,Jul-25
Wales,Commercial,Total,<10 Mbit/s DL or <1 Mbit/s UL,6.5,7041,Jul-25
Wales,Commercial,Total,>=10 Mbit/s,93.9,101273,Jul-25
Wales,Commercial,Total,>=24 Mbit/s,89.1,96104,Jul-25
Wales,Commercial,Total,>=30 Mbit/s,88.4,95283,Jul-25
Wales,Commercial,Total,>=100 Mbit/s,56.1,60476,Jul-25
Wales,Commercial,Total,>=300 Mbit/s,55.2,59515,Jul-25
Wales,Commercial,Total,Full Fibre,53.1,57258,Jul-25
Wales,Commercial,Total,Gigabit capable,54.2,58424,Jul-25
Wales,Commercial,Urban,Premise Base,100,79566,Jul-25
Wales,Commercial,Urban,Unclassified,1.4,1127,Jul-25
Wales,Commercial,Urban,<2 Mbit/s,0.3,214,Jul-25
Wales,Commercial,Urban,<10 Mbit/s DL or <1 Mbit/s UL,4.1,3249,Jul-25
Wales,Commercial,Urban,>=10 Mbit/s,96.2,76565,Jul-25
Wales,Commercial,Urban,>=24 Mbit/s,92.1,73304,Jul-25
Wales,Commercial,Urban,>=30 Mbit/s,91.7,72944,Jul-25
Wales,Commercial,Urban,>=100 Mbit/s,60.7,48295,Jul-25
Wales,Commercial,Urban,>=300 Mbit/s,59.5,47362,Jul-25
Wales,Commercial,Urban,Full Fibre,56.7,45131,Jul-25
Wales,Commercial,Urban,Gigabit capable,58.2,46296,Jul-25
Wales,Commercial,Rural,Premise Base,100,28278,Jul-25
Wales,Commercial,Rural,Unclassified,1.5,431,Jul-25
Wales,Commercial,Rural,<2 Mbit/s,2.5,693,Jul-25
Wales,Commercial,Rural,<10 Mbit/s DL or <1 Mbit/s UL,13.4,3792,Jul-25
Wales,Commercial,Rural,>=10 Mbit/s,87.4,24708,Jul-25
Wales,Commercial,Rural,>=24 Mbit/s,80.6,22800,Jul-25
Wales,Commercial,Rural,>=30 Mbit/s,79,22339,Jul-25
Wales,Commercial,Rural,>=100 Mbit/s,43.1,12181,Jul-25
Wales,Commercial,Rural,>=300 Mbit/s,43,12153,Jul-25
Wales,Commercial,Rural,Full Fibre,42.9,12127,Jul-25
Wales,Commercial,Rural,Gigabit capable,42.9,12128,Jul-25
