devolved_const,devolved_const_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
S16000140,Renfrewshire South,32882,32879,99.2,93.9,93.9,84.5,93.9,0.1,0.1,0.2,0.8,0,99.7,0,32629,30865,30865,27791,30865,24,34,60,250,5,32775,0,5.4,93.9,0.1,0,0.1,0.6,1764,30865,24,10,26,190
W09000025,Rhondda Assembly,33586,33577,99.8,71.4,71.4,71.4,71.4,0,0,0,0.2,0,100,2.3,33505,23967,23967,23967,23967,0,0,3,72,4,33577,786,28.4,71.4,0,0,0,0.2,9538,23967,0,0,3,69
S16000141,Rutherglen,39120,39112,99.7,97.4,97.4,91.8,97.3,0,0,0,0.3,0,99.8,0,38990,38117,38097,35920,38070,7,7,11,122,1,39033,0,2.3,97.4,0,0,0,0.3,893,38097,7,0,4,111
S16000142,Shetland Islands,11714,11663,85.1,17.6,17.6,17.6,17.6,2,4.6,7.8,14.4,2,94.3,0,9972,2064,2064,2064,2064,239,543,919,1691,237,11049,0,67.5,17.6,2,2.6,3.2,6.6,7908,2064,239,304,376,772
S16000143,"Skye, Lochaber and Badenoch",39962,39253,80.9,40.7,40.7,40.7,40.7,3.8,6.5,10.5,17.3,1.9,91,7.3,32349,16256,16256,16256,16256,1500,2584,4213,6904,769,36365,2919,40.3,40.7,3.8,2.7,4.1,6.7,16093,16256,1500,1084,1629,2691
N06000014,South Antrim,44048,44008,99.5,98.1,98.1,98,98.1,0.1,0.1,0.1,0.4,0,99.8,0,43828,43213,43211,43175,43207,27,56,66,180,16,43978,0,1.4,98.1,0.1,0.1,0,0.3,617,43211,27,29,10,114
N06000015,South Down,45849,45770,98.4,95.6,95.6,95.6,95.6,0.3,0.5,0.7,1.4,0.3,99.5,1.9,45112,43835,43835,43835,43835,129,216,333,658,121,45637,887,2.8,95.6,0.3,0.2,0.3,0.7,1277,43835,129,87,117,325
S16000144,Stirling,36935,36876,96.8,76.1,75.6,75.7,75.7,0.6,1.1,1.6,3,0.4,99.1,0.1,35771,28097,27933,27957,27957,207,396,587,1105,139,36603,33,21.2,75.6,0.6,0.5,0.5,1.4,7838,27933,207,189,191,518
N06000016,Strangford,42029,41953,99.1,96,96,96,96,0.1,0.1,0.3,0.7,0.1,99.8,0,41641,40361,40361,40357,40361,27,63,122,312,42,41950,0,3,96,0.1,0.1,0.1,0.5,1280,40361,27,36,59,190
S16000148,Strathkelvin and Bearsden,36054,36024,99.1,94.1,93.8,78.2,93.5,0.1,0.2,0.2,0.8,0,99.7,0,35731,33922,33821,28179,33728,50,68,74,293,3,35950,0,5.3,93.8,0.1,0,0,0.6,1910,33821,50,18,6,219
