devolved_const,devolved_const_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
W09000020,Swansea East Assembly,37652,37648,99.8,97.7,97.6,85.6,97.5,0,0,0,0.2,0,100,33.1,37587,36790,36730,32247,36725,1,2,4,61,0,37635,12475,2.3,97.6,0,0,0,0.2,857,36730,1,1,2,57
W09000019,Swansea West Assembly,37942,37941,99.9,96.6,96,87.1,95.4,0,0,0,0.1,0,100,37.6,37913,36664,36432,33037,36181,0,0,1,28,0,37926,14272,3.9,96,0,0,0,0.1,1481,36432,0,0,1,27
W09000037,Torfaen Assembly,38863,38839,98.9,86,85.6,75.2,85.3,0.1,0.1,0.2,1,0,99.6,13.9,38447,33407,33263,29224,33131,38,56,96,392,3,38697,5404,13.3,85.6,0.1,0,0.1,0.8,5184,33263,38,18,40,296
S16000146,Uddingston and Bellshill,35733,35731,99.7,94.4,94.1,52,93.9,0,0,0.1,0.2,0,99.9,0,35643,33742,33607,18564,33555,2,7,32,88,1,35689,0,5.7,94.1,0,0,0.1,0.2,2036,33607,2,5,25,56
N06000017,Upper Bann,54769,54528,99.1,96.1,96.1,96.1,96.1,0,0.1,0.1,0.5,0.1,99.5,0,54278,52660,52660,52660,52660,17,45,65,250,50,54511,0,3,96.1,0,0.1,0,0.3,1618,52660,17,28,20,185
W09000005,Vale Of Clwyd Assembly,36340,36303,96.9,88,88,88,88,0.1,0.4,0.8,3,0.1,98.3,60,35206,31985,31985,31985,31985,32,148,284,1097,19,35706,21807,8.9,88,0.1,0.3,0.4,2.2,3221,31985,32,116,136,813
W09000047,Vale Of Glamorgan Assembly,47974,47951,98.9,92.1,91.9,89.8,91.8,0.1,0.2,0.4,1,0.1,99.6,1.5,47466,44202,44077,43080,44035,32,101,170,485,48,47777,740,7.1,91.9,0.1,0.1,0.1,0.7,3389,44077,32,69,69,315
N06000018,West Tyrone,39085,38996,97.7,93.2,93.2,93.2,93.2,0.8,1.2,1.3,2,0.4,99.7,5.9,38200,36428,36428,36428,36428,303,452,527,796,175,38966,2301,4.5,93.2,0.8,0.4,0.2,0.7,1772,36428,303,149,75,269
W09000008,Wrexham Assembly,33290,33016,98.3,88.1,88.1,88.1,88.1,0,0.1,0.2,0.9,0.1,98.7,56.3,32711,29339,29339,29339,29339,0,24,54,305,17,32863,18744,10.1,88.1,0,0.1,0.1,0.8,3372,29339,0,24,30,251
W09000001,Ynys Môn Assembly,35138,35107,95.4,56.6,56.6,56.6,56.6,0.6,1.3,2,4.5,0.5,98.4,15.8,33528,19888,19888,19888,19888,209,448,703,1579,178,34569,5549,38.8,56.6,0.6,0.7,0.7,2.5,13640,19888,209,239,255,876
