laua,laua_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4,5G_SA_high_confidence_prem_out_0,5G_SA_high_confidence_prem_out_1,5G_SA_high_confidence_prem_out_2,5G_SA_high_confidence_prem_out_3,5G_SA_high_confidence_prem_out_4,5G_SA_high_confidence_geo_out_0,5G_SA_high_confidence_geo_out_1,5G_SA_high_confidence_geo_out_2,5G_SA_high_confidence_geo_out_3,5G_SA_high_confidence_geo_out_4,5G_SA_very_high_confidence_prem_out_0,5G_SA_very_high_confidence_prem_out_1,5G_SA_very_high_confidence_prem_out_2,5G_SA_very_high_confidence_prem_out_3,5G_SA_very_high_confidence_prem_out_4,5G_SA_very_high_confidence_geo_out_0,5G_SA_very_high_confidence_geo_out_1,5G_SA_very_high_confidence_geo_out_2,5G_SA_very_high_confidence_geo_out_3,5G_SA_very_high_confidence_geo_out_4
E09000006,Bromley,148989,15005,1473,2,1158,0.03,0.16,1.59,98.22,0.66,3.63,23.73,71.98,1.21,3.78,8.21,86.8,1.77,6.45,24.92,66.87,,,50,50,1.12,5.44,22.63,70.81,0.02,45.21,54.77,,,0.16,72.03,27.81,,,0.69,48.35,50.96,,,0.81,72.71,26.48,,,,100,,,,0.6,74.01,25.39,,,,0,0.01,0.19,99.8,0.02,0.16,0.96,4.38,94.47,0.05,0.17,0.67,3.83,95.29,,0.88,2.31,9.84,86.97,,,,,100,,0.78,1.81,8.72,88.69,,0,0,0.05,99.95,0.01,0.07,0.3,1.72,97.9,,0.05,0.4,2.39,97.16,,0.2,1.56,5.43,92.8,,,,,100,,0.26,1.12,4.84,93.78,0,0.05,0.49,10.02,89.44,0.78,1.84,4.36,19.21,73.81,0.24,1.01,8.16,49.64,40.96,4.65,7.56,17.19,41.24,29.36,0.02,0.37,3.09,96.52,,2.21,3.41,11.54,82.84,,0.6,3.5,14.52,81.38,,9.5,12.52,22.57,55.41,
E07000234,Bromsgrove,46132,21695,1371,380,1095,0.02,0.06,3.73,96.19,0.95,3.84,23.45,71.76,0.3,1.24,10.99,87.46,0.36,3.72,29.39,66.52,,,15,85,0.46,2.1,22.37,75.07,,64.44,35.56,,,0.03,74.46,25.51,,,,69.17,30.83,,,0.15,79.94,19.91,,,,100,,,,0.18,84.2,15.62,,,,0,0.01,0.12,99.86,0.08,0.15,1.53,7.73,90.51,,0.15,0.32,1.65,97.88,,,2.92,11.23,85.85,,,,1.32,98.68,,,1.74,7.21,91.05,,,0.01,0.07,99.93,0.02,0.08,0.62,6.55,92.74,,,0.21,1.25,98.54,,,1.82,8.24,89.93,,,,1.05,98.95,,,1,5.3,93.7,0.09,4.16,22.17,44.62,28.96,0.56,10.22,20.84,40.35,28.02,0.81,22.45,31.9,40.07,4.77,4.28,25.22,25.96,35.89,8.65,3.07,58.58,21.01,17.34,,10.52,43.67,28.15,17.66,,14.79,65.09,11.56,8.56,,26.43,50.63,14.92,8.02,
E07000095,Broxbourne,44463,5140,492,18,303,,,0.08,99.92,0.01,0.58,19.11,80.3,,0.33,6.05,93.62,,2.44,22.15,75.41,,,11.11,88.89,,0.33,17.82,81.85,,73.11,26.89,,,,86.92,13.08,,,,80.7,19.3,,,,93.9,6.1,,,,100,,,,,93.73,6.27,,,,,,0,100,,0.01,0.13,1.65,98.22,,,0.08,1.01,98.91,,,0.61,8.13,91.26,,,,,100,,,,3.3,96.7,,,,,100,,,0.03,0.35,99.62,,,,0.39,99.61,,,0.2,4.67,95.12,,,,,100,,,,2.31,97.69,,0.05,0.19,37.9,61.85,0.02,2.45,3.87,34.32,59.34,0.04,0.78,22.79,56.68,19.72,3.27,5.8,24.3,48.5,18.13,0.06,21.41,21.82,56.71,,3.79,19.55,17.26,59.4,,5.11,28.22,38.43,28.23,,13.39,25.78,32.04,28.79,
E07000172,Broxtowe,53842,8011,857,161,654,,,2.01,97.99,0.46,4.69,29.06,65.79,,0.1,4.79,95.11,0.12,1.05,21.12,77.71,0.62,0.62,28.57,70.19,0.31,1.53,20.18,77.98,,63.62,36.38,,,,82.86,17.14,,,,72.21,27.79,,,,87.4,12.6,,,,100,,,,,89.3,10.7,,,,,,0.04,99.96,,0,0.4,6.61,92.99,,,0.02,0.6,99.38,,,1.28,5.95,92.77,,,,3.73,96.27,,,1.22,6.27,92.51,,,,0.03,99.97,,,0.04,5.23,94.73,,,0.02,0.59,99.39,,,0.93,5.95,93.12,,,,1.86,98.14,,,0.76,5.96,93.27,,0.27,9.52,31.92,58.3,,0.55,11.46,33.92,54.08,0.08,1.71,39.23,39.88,19.1,0.52,2.58,36.77,42.23,17.89,0,7.74,38.64,53.62,,0.05,9.56,39.26,51.13,,0.17,21.94,57.1,20.8,,2.35,24.25,53.63,19.77,
E06000060,Buckinghamshire,249270,156500,6349,839,5255,0.09,0.67,4.2,95.03,2.79,6.36,24.59,66.27,1.51,3.88,13.04,81.58,2.13,7.42,27.23,63.22,1.07,1.19,29.44,68.3,1.45,5.67,26.77,66.11,,47.59,52.41,,,0.35,74.8,24.85,,,0.01,49.82,50.18,,,0.16,74.44,25.41,,,,75.33,24.67,,,0.04,71.04,28.92,,,0,0.04,0.12,1.52,98.32,0.48,1.21,3.71,12.73,81.87,0.08,0.61,1.36,5.07,92.88,0.11,1.09,4.52,18.22,76.06,,,1.07,17.76,81.17,0.04,0.61,3.5,17.09,78.76,,0,0.07,0.64,99.28,0.07,0.65,2.38,9.57,87.34,0,0.1,1.04,3.65,95.2,0.02,0.25,2.6,13.8,83.34,,,0.12,11.44,88.44,,0.08,1.79,11.99,86.15,0.9,11.85,24.99,33.17,29.1,3.33,19.89,35.36,26.86,14.57,5.54,25.22,36.69,23.43,9.13,14.53,33.7,36.01,11.84,3.92,5.27,66.77,19.34,8.62,,13.18,64.97,15.98,5.86,,23.02,59.92,11.32,5.74,,38.61,50.39,7.55,3.45,
E07000117,Burnley,46575,11069,719,105,770,0.01,0.01,0.53,99.45,0.08,0.62,17.42,81.88,1.32,1.81,6.18,90.69,4.87,4.31,16.83,73.99,,,5.71,94.29,4.42,3.51,13.9,78.18,,29.09,70.91,,,0.02,58.04,41.95,,,0.04,15.6,84.36,,,1.39,61.75,36.86,,,,75.24,24.76,,,1.3,63.51,35.19,,,0,0.01,0,0.13,99.85,0.03,0.02,0.41,6.68,92.85,0.14,0.72,1.41,4.91,92.83,1.81,2.23,3.62,10.29,82.06,,,,3.81,96.19,1.69,2.08,2.99,9.48,83.77,,0,0,0.02,99.97,0.01,0.03,0.02,4.95,94.98,0.02,0.08,0.56,2.38,96.96,0.56,1.67,2.23,6.95,88.6,,,,1.9,98.1,0.52,1.56,2.08,6.36,89.48,0.1,0.3,5.56,37.91,56.12,7.08,11.44,15.53,34.93,31.02,1.42,11.58,24.47,43.57,18.96,16.22,29.37,20.79,24.63,9,1.18,59.18,39.13,0.52,,16.41,58.69,22.55,2.36,,24.12,73.27,2.6,0.01,,50.56,44.11,4.82,0.51,
E08000002,Bury,91985,9954,1047,282,937,,0,1.98,98.01,0.14,0.51,22.61,76.74,0.08,0.23,3.9,95.79,0.19,0.67,19.96,79.18,,0.35,14.18,85.46,0.21,0.75,16.97,82.07,,39.16,60.84,,,0,73.51,26.49,,,0.01,38.49,61.5,,,,80.8,19.2,,,,73.05,26.95,,,,79.08,20.92,,,,,,0.01,99.99,0,0.01,0.23,3.84,95.92,,,0.16,1.58,98.26,,,0.29,5.25,94.46,,,0.35,6.03,93.62,,,0.32,5.12,94.56,,,,0.01,99.99,,0,0.03,2.97,97,,,0.04,1.23,98.73,,,,3.63,96.37,,,,6.38,93.62,,,,3.52,96.48,0.05,0.24,1.44,17.25,81.03,0.46,1.14,5.45,19.35,73.61,0.2,4.62,25.18,42.98,27.01,2.09,8.02,19.74,39.18,30.97,0.22,1.42,24.99,73.36,,0.83,2.94,33.47,62.75,,0.67,11.63,54.94,32.77,,3.91,14.42,52.52,29.15,
W06000018,Caerphilly,84562,27760,1946,,1215,0,0.04,3.42,96.54,0.26,1.17,24.75,73.82,1.65,1.47,6.61,90.27,1.39,4.78,33.04,60.79,,,,,1.65,5.51,35.39,57.45,,52.15,47.85,,,0.04,72.42,27.54,,,0.28,44.66,55.06,,,0.05,75.23,24.72,,,,,,,,0.08,76.3,23.62,,,0,0,0.01,0.15,99.84,0.03,0.08,0.58,5.24,94.07,1.24,0.5,0.82,2.28,95.16,0.21,0.31,2.62,10.95,85.92,,,,,,0.33,0.41,2.39,10.7,86.17,,0,0,0.09,99.91,0.01,0.04,0.32,3.27,96.37,0.27,0.93,0.53,1.03,97.24,,0.21,1.34,6.89,91.57,,,,,,,0.33,1.23,6.17,92.26,1.17,24.17,53.53,19.02,2.11,3.96,27.32,50.19,13.09,5.44,4.76,50.99,36.07,7.92,0.26,10,55.37,29.18,5.05,0.4,2.48,72.22,24.94,0.37,,6.84,69.91,17.69,5.56,,7.89,81.09,10.93,0.09,,14.87,73.9,10.12,1.1,
E08000033,Calderdale,104428,36385,2113,200,1876,0.14,0.32,2.34,97.2,0.81,2.89,15.02,81.28,5.79,5.71,9.7,78.8,3.98,6.81,18.55,70.66,,,24,76,3.41,3.57,19.3,73.72,0.02,29.79,70.2,,,0.3,54.45,45.25,,,1.68,57.52,40.8,,,2.32,59.49,38.19,,,,67.5,32.5,,,0.43,63.01,36.57,,,0.02,0.11,0.27,0.27,99.32,0.29,0.32,1.1,5.97,92.33,1.14,3.77,3.55,6.39,85.16,1.04,1.94,7,10.13,79.89,,1.5,4.5,22,72,0.59,2.19,4.58,11.83,80.81,,0.05,0.16,0.39,99.4,0.09,0.22,0.86,5.61,93.22,0.48,1.79,3.85,7.3,86.58,0.33,0.9,5.35,10.08,83.34,,,5,15.5,79.5,0.05,0.64,4.69,9.49,85.13,1.14,8.72,16.9,36.08,37.16,17.63,19.66,24.19,24.23,14.29,2.55,19.98,33.6,32.72,11.15,27.46,28.98,27.73,13.05,2.78,12.54,36.68,49.55,1.23,,37.63,34.41,25.18,2.78,,20.7,55.67,23.54,0.09,,59.46,28.85,11.6,0.09,
E07000008,Cambridge,61465,4062,489,26,483,,,0.01,99.99,0,0.46,13.57,85.97,,,0.47,99.53,,1.02,9.61,89.37,,,7.69,92.31,,1.04,10.14,88.82,,24.9,75.1,,,,63.78,36.22,,,,33.53,66.47,,,,57.26,42.74,,,,69.23,30.77,,,,59.21,40.79,,,,,,,100,,,0.01,1.14,98.85,,,,,100,,,1.23,2.04,96.73,,,,,100,,,1.24,2.07,96.69,,,,,100,,,0,0.17,99.82,,,,,100,,,,2.04,97.96,,,,,100,,,,2.07,97.93,,0.15,3.32,47.38,49.16,,0.27,4.65,53.47,41.61,,3.04,35.5,57.28,4.19,0.02,2.56,37.49,54.95,4.97,,47.51,52.49,,,,55.42,44.58,,,13.34,67.5,19.15,,,12.24,64.97,22.8,,
