laua,laua_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4,5G_SA_high_confidence_prem_out_0,5G_SA_high_confidence_prem_out_1,5G_SA_high_confidence_prem_out_2,5G_SA_high_confidence_prem_out_3,5G_SA_high_confidence_prem_out_4,5G_SA_high_confidence_geo_out_0,5G_SA_high_confidence_geo_out_1,5G_SA_high_confidence_geo_out_2,5G_SA_high_confidence_geo_out_3,5G_SA_high_confidence_geo_out_4,5G_SA_very_high_confidence_prem_out_0,5G_SA_very_high_confidence_prem_out_1,5G_SA_very_high_confidence_prem_out_2,5G_SA_very_high_confidence_prem_out_3,5G_SA_very_high_confidence_prem_out_4,5G_SA_very_high_confidence_geo_out_0,5G_SA_very_high_confidence_geo_out_1,5G_SA_very_high_confidence_geo_out_2,5G_SA_very_high_confidence_geo_out_3,5G_SA_very_high_confidence_geo_out_4
E07000096,Dacorum,70891,21248,1262,49,866,0.06,0.33,2.57,97.04,1.12,2.64,17.12,79.13,0.98,4.22,11.53,83.28,1.98,2.38,18.46,77.18,,,14.29,85.71,0.23,0.81,11.66,87.3,,58.05,41.95,,,0.09,85.75,14.16,,,,57.33,42.67,,,0.95,82.01,17.04,,,,51.02,48.98,,,0.12,78.52,21.36,,,0,0.03,0.07,0.29,99.62,0.26,0.56,1.06,4.97,93.15,0.04,0.45,1.16,3.4,94.95,1.58,0.87,1.19,9.9,86.45,,,,4.08,95.92,0.12,0.23,0.35,9.47,89.84,,0,0.04,0.26,99.7,0.05,0.27,0.8,3.33,95.56,,0.08,0.86,2.92,96.14,0.95,0.87,1.11,6.26,90.81,,,,4.08,95.92,0.12,,0.35,4.16,95.38,3.45,8.81,12.6,23.57,51.56,5.36,23.97,22.72,25,22.95,8.93,13.5,28.65,27.48,21.45,19.32,26.57,28.48,17,8.63,17.46,14.69,64.06,3.79,,21.01,36.96,35.51,6.51,,23.77,14.85,61.05,0.33,,42.39,30.37,26.4,0.84,
E06000005,Darlington,56649,19744,1114,126,902,,0.01,2.35,97.65,0.4,2.54,33.55,63.52,0.06,0.49,9.11,90.34,2.42,4.58,30.43,62.57,,,3.97,96.03,0.22,1.22,28.05,70.51,,24.68,75.32,,,0.01,65.13,34.86,,,,50.02,49.98,,,,79.44,20.56,,,,48.41,51.59,,,,72.28,27.72,,,,,0,0.07,99.93,0.01,0.1,2.08,5.74,92.07,0.01,0.07,0.21,1.58,98.14,,0.63,3.5,11.04,84.83,,,,1.59,98.41,,,1,11.42,87.58,,,0,0.06,99.94,,0.07,0.99,5.5,93.45,,0.02,0.22,1.47,98.28,,,1.8,10.95,87.25,,,,,100,,,0.89,8.76,90.35,0.35,1.87,21.8,63.75,12.23,3.1,10.75,21.15,44.86,20.13,1.9,9.5,49.78,38.22,0.6,11.38,27.45,34.52,23.46,3.2,3.55,96.22,0.23,,,11.36,86.45,2.19,,,10.1,89.9,,,,36.08,63.84,0.08,,
E07000107,Dartford,53000,7283,1011,52,727,,0.06,0.93,99,1,4.11,25.29,69.6,0.1,0.92,2.9,96.09,0.2,4.06,27.1,68.64,,,7.69,92.31,0.28,3.85,22.7,73.18,,61.88,38.12,,,0.02,86.04,13.94,,,,56.19,43.81,,,,77.25,22.75,,,,71.15,28.85,,,,79.64,20.36,,,,,,,100,,0.03,0.09,2.59,97.28,,,0.01,0.3,99.68,,,0.3,4.85,94.86,,,,1.92,98.08,,,0.41,4.26,95.32,,,,,100,,,0.07,1.37,98.56,,,,0.23,99.77,,,0.1,2.87,97.03,,,,1.92,98.08,,,0.14,3.3,96.56,,,0.21,12.69,87.09,0.01,0.01,0.96,13.29,85.72,0.39,3.54,6.92,44.33,44.82,0.7,4.64,9.56,38.58,46.52,0.01,1.83,9.21,88.94,,0.07,3.28,15.21,81.44,,2.96,7.16,21.09,68.79,,5.11,11.77,26.71,56.42,
W06000004,Denbighshire,51180,83852,4273,,2558,0.5,0.97,11.74,86.79,3.36,5.5,41.09,50.04,8.62,6.79,13.66,70.93,13.46,12.68,28.43,45.42,,,,,6.8,11.02,30.45,51.72,0.12,32.82,67.06,,,1.06,64.36,34.59,,,2.27,28.68,69.05,,,5.1,54.36,40.53,,,,,,,,1.84,54.77,43.39,,,0.15,0.31,0.47,1.69,97.38,1.16,1.47,4.29,18.72,74.35,2.28,3.36,4.71,8.98,80.67,4.17,5.43,11.12,19.56,59.72,,,,,,2.19,2.38,9.03,19.27,67.12,0.02,0.11,0.24,1.07,98.56,0.42,0.67,2.42,10.66,85.81,0.93,1.73,3.24,7.96,86.13,1.92,3.93,8.12,14.77,71.26,,,,,,0.9,1.76,5.71,12.55,79.09,20.82,59.93,19.21,0.03,,44.28,38.42,17.28,0.02,,29.94,62.61,7.45,,,56.71,35.81,7.48,,,99.16,0.84,,,,99.63,0.37,,,,99.68,0.32,,,,99.81,0.19,,,
E06000015,Derby,122371,7803,939,,875,,,0.01,99.99,0.01,0.07,14.79,85.12,,,0.28,99.72,,0.11,13.74,86.16,,,,,,0.11,14.63,85.26,,88.13,11.87,,,,95.03,4.97,,,,85.45,14.55,,,,92.44,7.56,,,,,,,,,94.29,5.71,,,,,,,100,,,,0.07,99.93,,,,,100,,,,0.21,99.79,,,,,,,,,0.23,99.77,,,,,100,,,,0,100,,,,,100,,,,,100,,,,,,,,,,100,,0,0.24,4.6,95.15,,0.05,0.46,4.74,94.75,0,0.46,6.87,35.81,56.86,0.01,0.83,7.74,33.26,58.16,0.08,3.8,95.5,0.62,,0.15,4.05,93.77,2.02,,12.36,25,62.64,,,9.05,25.98,64.95,0.03,
E07000035,Derbyshire Dales,39004,79539,3972,,2296,1.59,3.54,11.75,83.12,8.82,13.3,24.24,53.64,5.05,8.93,19.57,66.46,21.17,20.54,23.59,34.69,,,,,16.68,19.08,23.13,41.11,0.41,55.98,43.6,,,2.59,69.58,27.83,,,0.53,52.72,46.75,,,6.77,66.41,26.81,,,,,,,,3.92,66.25,29.83,,,0.66,0.53,1.64,3.28,93.9,2.73,3.6,6.93,11.03,75.7,0.63,2.06,3.78,8.06,85.47,5.29,7.98,15.11,17.62,54,,,,,,3.27,6.05,14.42,15.85,60.41,0.05,0.79,0.97,3.9,94.29,1.34,3.03,5.27,11.72,78.65,0.11,0.92,2.56,9.1,87.31,2.17,6.47,11.25,22.73,57.38,,,,,,0.7,4.88,9.67,20.64,64.11,7.88,18.84,48.6,22.9,1.77,10,26.12,44.74,15.07,4.07,18.35,21.21,46.55,13.83,0.06,23.62,35.3,35.84,4.9,0.34,55.29,44.42,0.28,,,61.86,36.02,2.08,0.04,,66.1,33.9,0.01,,,80.36,19.51,0.13,,
N09000005,Derry City and Strabane,68546,124141,4313,,1274,1.16,0.74,15.12,82.99,2.99,4.2,50.25,42.56,13.17,8.9,21.2,56.73,13.54,11.59,38.74,36.12,,,,,1.41,4.24,42.54,51.81,0.44,99.56,,,,1.42,98.58,,,,5.77,94.23,0,,,8.69,91.31,,,,,,,,,0.16,99.84,,,,0.33,0.47,0.87,3.38,94.95,1.37,1.29,6.44,16.42,74.48,4.18,5.47,9.04,9.68,71.64,9.76,2.9,13.22,20.94,53.19,,,,,,0.39,0.63,7.54,19.23,72.21,0.11,0.28,1,3.49,95.12,0.84,0.97,6.3,16.65,75.24,1.97,3.76,8.3,12.61,73.37,7.95,2.83,11.34,22.61,55.27,,,,,,,0.24,6.59,18.76,74.41,6.25,36.94,19.04,20.46,17.31,27.79,41.57,25.53,3.98,1.14,10.21,48.17,23.77,15.5,2.35,38.92,40.14,19.02,1.77,0.15,13.11,86.89,,,,47.33,52.67,,,,21.07,78.93,,,,61.71,38.29,,,
E08000017,Doncaster,152028,56808,2666,828,2806,0.02,0.23,3.65,96.09,1.93,7.11,29.54,61.42,0.38,2.27,11.52,85.83,3.71,9.71,28.17,58.4,2.17,6.64,33.57,57.61,2.99,6.74,28.94,61.33,0,82.03,17.97,,,0.07,91.99,7.94,,,0.02,61.5,38.48,,,0.08,86.08,13.84,,,,96.74,3.26,,,,89.59,10.41,,,,,,0.08,99.92,0.13,0.17,2.15,9.55,88,,0.08,0.28,1.92,97.71,0.19,0.94,3.83,11.89,83.16,,,1.93,14.37,83.7,0.14,0.57,2.07,11.9,85.32,,,,0.08,99.92,0.02,0.16,0.82,6.75,92.24,,,0.19,1.81,98,,0.3,2.33,10.92,86.46,,,0.6,9.66,89.73,,0.18,1.21,9.62,88.99,0.12,4.75,14.93,33.69,46.51,1.5,13.66,30.77,32.22,21.85,2.48,13.71,34.74,28.52,20.56,10.56,28.58,35.66,18.52,6.68,6.67,19.19,74.14,,,8.32,37.13,54.42,0.14,,14.98,24.12,60.9,,,29.7,34.55,35.74,,
E06000059,Dorset,197073,249115,10098,,5472,0.24,0.71,12.81,86.24,3.7,8.37,37.57,50.37,1.39,3.64,18.57,76.4,5.43,11.05,32.31,51.21,,,,,3.49,7.6,29.59,59.32,0.14,54.51,45.35,,,0.94,78.04,21.02,,,0.2,44.21,55.59,,,2.17,67.03,30.8,,,,,,,,0.99,61,38.01,,,0.02,0.1,0.58,2.21,97.09,0.88,2.26,5.77,12.42,78.66,0.17,0.63,2.1,7.09,90.01,1.2,3.06,8.17,18.41,69.16,,,,,,0.55,1.61,4.93,17.64,75.27,0.01,0.01,0.38,1.58,98.02,0.2,1.07,4.25,10.19,84.29,0.02,0.19,1.18,5.72,92.89,0.32,1.46,5.62,14.54,78.06,,,,,,0.13,0.6,2.65,12.01,84.61,9.51,42.85,35.91,8.86,2.87,24.16,45.36,23,6.56,0.92,17.49,59.35,18.58,4.28,0.3,40.44,47.63,10.64,1.13,0.16,90.68,9.32,,,,92.84,7.16,0,,,96.34,3.66,,,,97.54,2.46,,,
E07000108,Dover,57718,31530,1267,,1087,0.02,0.76,5.58,93.64,1.37,6.64,25.77,66.21,0.07,1.64,12.71,85.58,0.47,4.81,22.89,71.82,,,,,0.46,4.51,21.8,73.23,0,69.19,30.81,,,0.1,86.72,13.18,,,0.01,52.91,47.09,,,,86.66,13.34,,,,,,,,,84.64,15.36,,,0.01,0.02,0.25,0.78,98.94,0.36,0.99,4.11,13.2,81.35,0.03,0.08,0.4,1.92,97.57,,,2.21,10.66,87.13,,,,,,,,2.02,9.38,88.59,,0.01,0.1,0.87,99.02,0.04,0.58,3.1,12.59,83.69,,0.05,0.3,1.88,97.77,,,1.26,9.87,88.87,,,,,,,,1.29,9.11,89.6,2.11,15.03,27.3,55.46,0.1,8.62,26.33,43.24,21.71,0.1,7.34,22.33,47.65,22.67,,22.65,32.38,38.44,6.53,,14.4,85.6,,,,24.81,75.19,,,,31.05,68.95,,,,51.41,48.59,,,
E08000027,Dudley,149065,9784,1574,57,1127,,,0.98,99.02,0.19,2.96,24.69,72.16,0.01,0.11,1.87,98.01,0.06,0.89,19.7,79.35,,,33.33,66.67,0.09,1.06,20.76,78.08,,78.24,21.76,,,0.01,94.29,5.7,,,,76.98,23.02,,,,95.17,4.83,,,,100,,,,,95.92,4.08,,,,,,0.02,99.98,,,0.05,5.84,94.11,,,0.02,0.19,99.79,,,,2.54,97.46,,,,14.04,85.96,,,,3.19,96.81,,,,,100,,,0.01,0.54,99.46,,,,0.03,99.97,,,,0.51,99.49,,,,,100,,,,0.62,99.38,,,0.01,5.12,94.87,,,0.05,4.41,95.54,,1.26,11.06,41.1,46.58,0.05,1.57,10.08,38.53,49.76,,0,1.96,98.04,,,0.02,2.16,97.82,,0.01,4.56,26.53,68.9,,0.13,4.9,24.32,70.66,
S12000006,Dumfries and Galloway,83578,643770,18725,824,10518,0.79,1.62,17.18,80.41,5.76,9.7,36.82,47.72,12.86,10.61,22.78,53.75,15.36,17.25,31.21,36.18,,1.33,23.42,75.24,7.73,11.5,36.53,44.24,0.32,60.69,38.99,,,1.65,76.13,22.23,,,4.45,70.44,25.12,,,8.99,72.81,18.21,,,,62.14,37.86,,,2.41,75.75,21.85,,,0.12,0.22,0.65,2.53,96.47,1.22,2.92,5.38,14.24,76.24,3.55,4.74,6.78,10.66,74.28,2.65,8.34,10.79,20.19,58.02,,,0.24,4.61,95.15,0.78,4.34,8.41,21.63,64.84,0.03,0.17,0.31,2.19,97.31,0.41,1.62,4.77,12.85,80.35,1.53,3.4,5.06,11.08,78.93,1.64,5.09,8.01,20.27,64.99,,,,3.88,96.12,0.4,1.72,5.91,19.59,72.38,16.38,27.03,33.89,20.27,2.43,60.92,21.4,12.49,4.54,0.65,27.38,33.67,25.64,12.53,0.79,74.63,18.36,5.68,1.26,0.07,34.32,62.86,2.82,0,,73.77,23.07,3.15,0,,52.81,46.48,0.71,,,89.26,10.13,0.61,,
S12000042,Dundee City,81355,5986,711,,559,,,0.39,99.61,0.14,0.89,20.74,78.23,,0.02,3.29,96.69,0.56,2.39,27.57,69.48,,,,,0.72,2.33,24.51,72.45,,29.28,70.72,,,,66.73,33.27,,,,33.56,66.44,,,,63.29,36.71,,,,,,,,,59.57,40.43,,,,,,,100,,,0.02,0.5,99.48,,,,0.27,99.73,,,,3.94,96.06,,,,,,,,,4.11,95.89,,,,,100,,,,0.3,99.7,,,,0.27,99.73,,,,2.25,97.75,,,,,,,,,2.86,97.14,,,1.82,23.19,74.99,,,4.18,25.11,70.72,,0.54,7.12,56.14,36.2,0.02,2,16.89,48.95,32.14,,0.04,99.96,,,0.15,0.65,99.2,,,0.13,1.93,97.94,,,0.89,5.41,93.7,,
E09000009,Ealing,157339,5557,906,1,648,,,0.03,99.97,,0.43,14.45,85.12,,,0.49,99.51,,0.11,11.59,88.3,,,100,,,0.15,8.18,91.67,,84.43,15.57,,,,93.22,6.78,,,,90.91,9.09,,,,94.7,5.3,,,,100,,,,,94.75,5.25,,,,,,,100,,,,0.05,99.95,,,,,100,,,,0.44,99.56,,,,,100,,,,0.46,99.54,,,,,100,,,,0.02,99.98,,,,,100,,,,0.44,99.56,,,,,100,,,,0.46,99.54,,,,0.45,99.55,,,,0.49,99.51,,,0.94,35.55,63.51,,,0.61,32.28,67.1,,,,100,,,,,100,,,,2.69,97.31,,,,2.45,97.55,
S12000008,East Ayrshire,62961,127053,4697,114,2441,0.07,0.14,3.18,96.61,0.94,6.21,24.27,68.58,9.72,7.6,21.57,61.12,8.01,10.94,26.31,54.74,,4.39,49.12,46.49,1.64,5.74,29.33,63.29,0.03,46.22,53.76,,,0.17,69.82,30.01,,,5.36,51.67,42.97,,,4.24,66.87,28.89,,,,69.3,30.7,,,0.45,64.77,34.78,,,0.01,0.02,0.05,0.29,99.63,0.1,0.28,2.33,7.16,90.13,3.41,4.04,7.13,9.6,75.84,2.21,5,5.98,12.11,74.69,,1.75,6.14,13.16,78.95,,0.94,3.65,11.39,84.02,0,0.02,0.02,0.18,99.78,0.04,0.1,0.85,4.95,94.05,1.75,2.74,4.22,12.87,78.42,1.02,3.81,5.3,8.6,81.26,,,7.89,10.53,81.58,,0.16,2.74,6.92,90.17,5.75,17.19,29.49,27.65,19.92,48.71,28.49,12.58,7.38,2.84,10.16,34.39,31.22,14.82,9.41,62.38,27.94,6.08,2.73,0.87,46.45,53.55,,,,80.39,19.6,0,,,63.92,36.08,,,,92.67,7.33,,,
E07000009,East Cambridgeshire,42813,65121,3014,,1726,,0.24,10.17,89.58,6.66,10.64,31.18,51.52,0.02,0.54,11.85,87.59,6.44,13.74,32.35,47.48,,,,,4.69,9.1,28.16,58.05,,67.34,32.66,,,0.11,82.2,17.69,,,,36.73,63.27,,,0.3,72.03,27.67,,,,,,,,,63.44,36.56,,,,,0.05,0.52,99.43,0.79,2.16,6.24,19.52,71.29,,0,0.08,1.06,98.87,1.73,3.32,8.06,19.44,67.45,,,,,,1.33,1.22,5.56,18.13,73.75,,,0.03,0.25,99.72,0.06,1.38,2.91,14.02,81.63,,,0.06,0.75,99.2,0.17,2.46,5.74,17.49,74.15,,,,,,,1.39,3.07,14.37,81.17,2.03,12.08,53.52,32.26,0.11,5.2,7.81,62.86,23.7,0.42,4.71,23.5,59.96,11.83,,8.77,22.43,62.49,6.31,,4.54,95.24,0.22,,,7.38,90.22,2.39,,,31.9,68.1,,,,24.4,75.6,,,
E07000040,East Devon,79030,81432,3319,142,2177,0.24,0.97,10.62,88.17,2.62,6.85,34.28,56.25,1.82,4.04,11.59,82.55,1.14,6.18,27.09,65.59,4.93,9.86,16.9,68.31,1.56,6.02,23.33,69.09,0.01,22.07,77.91,,,0.79,58.26,40.95,,,0.04,26.76,73.2,,,0.15,41.82,58.03,,,,50.7,49.3,,,0.23,47.22,52.55,,,0.05,0.27,0.49,2.25,96.94,0.89,2,5.23,16.2,75.68,0.43,1.28,2.13,5.02,91.14,0.12,1.48,4.1,14.43,79.87,0.7,2.11,6.34,10.56,80.28,0.23,1.33,3.49,12.49,82.45,0,0.09,0.35,1.11,98.44,0.31,1.05,3.03,10.4,85.21,0.01,0.48,1.73,4.22,93.55,,0.15,2.23,9.7,87.92,,0.7,3.52,9.86,85.92,,0.28,2.25,8.22,89.25,11.64,36.32,29.72,13.85,8.47,18,48.27,22.48,9.81,1.44,17.17,49.95,21.62,9.24,2.02,29.46,54.4,13.15,2.79,0.2,64.59,30.57,4.84,,,74.39,21.33,4.27,,,83.84,15.63,0.53,,,87.59,12.25,0.16,,
S12000045,East Dunbartonshire,50862,17435,1218,,692,0.02,0.05,0.49,99.44,0.52,1.35,10.46,87.66,4.31,2.54,8.1,85.05,3.61,3.78,17.24,75.37,,,,,1.16,4.19,17.05,77.6,,22.56,77.44,,,0.08,53.28,46.64,,,1.41,31.66,66.93,,,3.45,67.9,28.65,,,,,,,,1.88,73.41,24.71,,,,,0,0.18,99.82,0.06,0.28,0.71,6.13,92.81,1.8,1.24,2.01,4.77,90.19,1.89,1.56,2.3,9.61,84.65,,,,,,,1.16,2.17,9.25,87.43,,,,0.02,99.98,0.03,0.09,0.54,2.79,96.55,0.65,1.59,1.29,3.49,92.97,1.72,0.74,2.63,5.91,89,,,,,,,0.29,2.89,4.91,91.91,1.9,12.36,23.16,27.36,35.21,5.68,15.99,23.82,27.14,27.38,8.42,21.83,37.15,29.07,3.52,19.17,33.93,30.56,14.02,2.32,32.24,6.88,12.5,48.38,,33.19,10.65,15.02,41.14,,41.44,19.6,14,24.96,,50.65,19.82,17.58,11.95,
E07000085,East Hampshire,59964,51443,2283,41,1426,0.09,0.55,7.83,91.53,3.14,8.05,24.6,64.21,1.17,4.17,18.09,76.56,6.13,12.61,36.27,44.98,,4.88,7.32,87.8,4.63,10.1,38.15,47.12,0,29.53,70.47,,,0.27,53,46.72,,,0,40.32,59.68,,,0.39,66.62,32.98,,,,78.05,21.95,,,0.42,68.51,31.07,,,0,0.05,0.37,1.13,98.45,0.37,1.77,4.53,10.08,83.25,0.1,0.84,1.74,4.65,92.67,0.39,3.77,9.64,19.05,67.15,,,,4.88,95.12,0.07,1.47,9.82,20.55,68.09,,0.01,0.07,0.84,99.08,0.04,0.55,2.58,10.11,86.73,,0.1,0.96,4.46,94.47,,0.7,6.04,18.31,74.95,,,,,100,,0.49,4.42,19.35,75.74,5.15,30.59,28.08,35.83,0.35,19.22,39.17,29.13,11.43,1.05,10.54,40.67,36.83,11.95,0.02,36.84,42.88,16.54,3.57,0.17,88.87,4.27,6.87,,,93.69,2.81,3.49,,,92.2,5.08,2.71,,,96.52,2.3,1.18,,
E07000242,East Hertfordshire,70905,47565,2430,,1347,0.12,0.28,3.78,95.82,2.29,4.86,22.87,69.99,0.65,2.1,14.04,83.21,5.97,6.79,24.73,62.51,,,,,1.11,3.19,23.98,71.71,,39.44,60.56,,,0.23,71.64,28.14,,,,48.85,51.15,,,0.53,71.36,28.11,,,,,,,,0.3,71.27,28.43,,,0,0.04,0.2,1.22,98.54,0.79,1.35,3.65,8.81,85.41,0.02,0.3,0.98,3.37,95.33,2.39,3.54,5.68,14.32,74.07,,,,,,,0.67,2.67,14.25,82.41,,0.01,0.12,0.63,99.24,0.06,0.91,2.29,7.04,89.7,,0.03,0.64,2.47,96.86,0.16,2.88,4.24,10.86,81.85,,,,,,,0.22,1.26,9.21,89.31,1.63,7.42,44.73,30.47,15.75,4.98,20.68,40.28,25.63,8.42,5.16,14.26,56.07,21.35,3.16,17.98,33.88,36.75,9.89,1.5,4.65,94.96,0.34,0.04,,11.56,85.54,2.25,0.65,,15.35,84.63,0.02,,,42.02,57.64,0.33,0.01,
E07000137,East Lindsey,75941,176499,6494,,4280,0.48,3.28,14.35,81.89,12.63,15.56,28.56,43.25,1.57,3.88,17.62,76.93,15.83,19.66,29.26,35.25,,,,,12.1,18.15,31,38.74,0,42.65,57.35,,,2.15,68.62,29.23,,,0.02,38.66,61.32,,,0.8,75.9,23.3,,,,,,,,0.51,76.47,23.01,,,0.01,0.02,0.28,3.19,96.51,0.87,3.12,11.72,18.12,66.17,0.1,0.23,0.63,2.3,96.73,1.46,3.88,12.75,21.48,60.43,,,,,,0.56,2.48,9.88,22.29,64.79,0,0.01,0.04,1.34,98.61,0.17,1.39,6.05,20.49,71.89,0.01,0.12,0.36,1.67,97.83,0.14,1.99,6.45,23.54,67.88,,,,,,0.05,0.89,5.05,20.56,73.46,4.75,12.62,37.54,31.31,13.79,12.07,28.24,38.48,18.27,2.94,14.32,19.31,41.98,18.17,6.22,33.71,35.72,25.08,5.01,0.48,45.93,54.07,,,,50.07,49.93,,,,61.28,38.72,,,,78.76,21.24,,,
S12000010,East Lothian,56991,67908,3950,,1935,0.09,0.46,6.19,93.26,2.19,8.64,26.23,62.93,3.18,5.53,18.29,73,5.87,10.68,26.15,57.29,,,,,2.64,4.55,24.44,68.37,0.01,55.89,44.11,,,0.26,77.42,22.32,,,0.42,58.45,41.13,,,1.04,78.05,20.91,,,,,,,,0.1,74.37,25.53,,,0.02,0.02,0.06,0.86,99.04,0.24,0.91,3.64,9.71,85.5,1.11,1.93,2.73,9.17,85.05,1.06,3.72,5.62,12.99,76.61,,,,,,,0.26,4.91,9.72,85.12,0.01,0.01,0.05,0.7,99.24,0.07,0.65,2.43,7.99,88.86,0.28,1.07,2.96,9.56,86.14,0.3,2.38,4.56,11.77,80.99,,,,,,,0.1,1.65,7.6,90.65,2.08,12.63,35.07,26.55,23.67,25,24.24,31.61,13.82,5.33,6.92,33.13,30.62,22.79,6.54,41.96,36.83,15.58,3.71,1.93,16.65,45.01,26.27,12.06,,35.58,57.77,3.76,2.88,,25.99,42.26,30.26,1.49,,60.46,35.02,4.16,0.36,
S12000011,East Renfrewshire,42805,17420,903,133,577,,0.01,2.21,97.79,0.06,1.57,20.59,77.77,0.55,2.38,19.25,77.82,5.54,7.09,21.04,66.33,,1.5,15.04,83.46,,1.73,18.89,79.38,,28.67,71.33,,,0.06,68.38,31.57,,,0.11,60.49,39.4,,,1.66,73.75,24.58,,,1.5,98.5,,,,0.52,67.59,31.89,,,,,0,0.07,99.92,0.01,0.04,0.36,3.16,96.44,0.05,0.24,1.36,6.85,91.5,1.77,2.44,3.21,11.41,81.17,,,,6.02,93.98,,,0.69,8.84,90.47,,,,0.02,99.98,,0.01,0.09,1.35,98.54,0.01,0.1,0.88,6.68,92.34,0.22,1.88,2.88,7.86,87.15,,,,3.01,96.99,,,0.35,4.16,95.49,0.79,3.54,14.95,21.9,58.81,22.18,18.46,19.6,16.69,23.08,3.82,17.86,43.25,26.33,8.73,34.67,29.86,21.08,10.46,3.93,2.66,18.04,14.97,64.32,,28.71,23.31,16.81,31.18,,21.2,29.96,25.03,23.81,,48.78,27.74,15.76,7.71,
E06000011,East Riding of Yorkshire,175034,240715,8592,452,5053,0.15,0.75,10.13,88.97,4.37,10.39,31.71,53.52,0.87,2.44,13.36,83.32,6.33,12.53,34.16,46.97,0.22,2.21,21.02,76.55,2.73,8.63,32.83,55.81,0.02,33.07,66.91,,,0.28,63.48,36.24,,,0.14,38.51,61.34,,,0.91,71.58,27.51,,,,78.76,21.24,,,0.06,71.62,28.32,,,0,0.04,0.26,2.38,97.32,0.57,1.93,6.54,18.65,72.3,0.1,0.3,0.78,2.39,96.42,1.16,2.98,8.36,22.52,64.98,,,0.44,6.19,93.36,0.18,1.17,5.36,19.91,73.38,0,0,0.18,1.39,98.43,0.06,0.84,3.88,13.56,81.67,0.04,0.15,0.44,2.26,97.11,0.42,1.22,6.32,19.08,72.96,,,,5.09,94.91,,0.28,2.91,15.4,81.42,2.33,9.05,42.89,30.86,14.88,5.88,15.04,48.39,26.51,4.18,8.13,14.47,51.92,20.6,4.88,20.37,31.92,37.56,9.21,0.94,14.59,61.33,6.76,17.33,,20.79,67.37,6.83,5,,34.47,45.52,7.96,12.05,,53.63,40.02,4.47,1.88,
