"Table C2: Number of police recorded crimes for headline offences by Community Safety Partnership area, England and Wales, year ending June 2025 [note 1][note 2][note 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Police recorded crime from the Home Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police Force
Area code","Police Force
Area name","Community Safety
Partnership code","Community Safety
Partnership name",Local Authority code,Local Authority name,"Total recorded crime
 (excluding fraud)",Violence against the person,Homicide,Death or serious injury caused by illegal driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000023,Cambridgeshire,E22000017,Peterborough,E06000031,Peterborough,"23,061 ","9,499 ",3 ,21 ,"2,046 ","5,076 ","2,353 ",937 ,249 ,"6,646 ",800 ,502 ,298 ,"1,487 ",259 ,371 ,"2,206 ","1,523 ","2,202 ",604 ,410 ,"1,727 ",787 
E23000023,Cambridgeshire,E22000018,South Cambridgeshire,E07000012,South Cambridgeshire,"7,461 ","2,756 ",0 ,20 ,557 ,"1,318 ",861 ,335 ,45 ,"2,646 ",505 ,299 ,206 ,595 ,26 ,106 ,820 ,594 ,793 ,140 ,81 ,452 ,213 
E23000023,Cambridgeshire,,Unassigned Cambridgeshire,,,858 ,352 ,0 ,0 ,71 ,117 ,164 ,170 ,5 ,142 ,13 ,5 ,8 ,35 ,9 ,9 ,5 ,71 ,30 ,30 ,18 ,54 ,57 
E23000006,Cheshire,,,,,"77,491 ","35,078 ",3 ,39 ,"8,855 ","12,267 ","13,914 ","4,136 ",468 ,"16,469 ","2,593 ","1,944 ",649 ,"2,154 ",295 ,701 ,"5,731 ","4,995 ","5,673 ","3,670 ",756 ,"9,081 ","2,160 "
E23000006,Cheshire,E22000354,Cheshire East,E06000049,Cheshire East,"25,545 ","11,378 ",1 ,19 ,"2,895 ","3,911 ","4,552 ","1,331 ",123 ,"5,865 ","1,011 ",784 ,227 ,774 ,71 ,199 ,"2,104 ","1,706 ","1,899 ","1,077 ",265 ,"2,874 ",733 
E23000006,Cheshire,E22000355,Cheshire West and Chester,E06000050,Cheshire West and Chester,"24,636 ","11,299 ",1 ,9 ,"2,807 ","4,073 ","4,409 ","1,280 ",139 ,"5,071 ",719 ,519 ,200 ,515 ,93 ,192 ,"1,945 ","1,607 ","1,848 ",933 ,213 ,"3,201 ",652 
E23000006,Cheshire,E22000023,Halton,E06000006,Halton,"12,080 ","5,528 ",0 ,5 ,"1,340 ","1,885 ","2,298 ",594 ,115 ,"2,387 ",399 ,322 ,77 ,384 ,70 ,94 ,776 ,664 ,877 ,720 ,129 ,"1,381 ",349 
E23000006,Cheshire,,Unassigned Cheshire,,,327 ,91 ,0 ,1 ,20 ,33 ,37 ,77 ,3 ,88 ,6 ,1 ,5 ,4 ,8 ,2 ,45 ,23 ,9 ,15 ,2 ,28 ,14 
E23000006,Cheshire,E22000026,Warrington,E06000007,Warrington,"14,903 ","6,782 ",1 ,5 ,"1,793 ","2,365 ","2,618 ",854 ,88 ,"3,058 ",458 ,318 ,140 ,477 ,53 ,214 ,861 ,995 ,"1,040 ",925 ,147 ,"1,597 ",412 
E23000034,City of London,E22000180,City of London,E09000001,City of London,"8,801 ","1,407 ",0 ,6 ,447 ,797 ,157 ,194 ,180 ,"5,266 ",377 ,26 ,351 ,100 ,"1,372 ",214 ,"1,444 ","1,759 ",343 ,495 ,79 ,681 ,156 
