"Table C2: Number of police recorded crimes for headline offences by Community Safety Partnership area, England and Wales, year ending June 2025 [note 1][note 2][note 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Police recorded crime from the Home Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police Force
Area code","Police Force
Area name","Community Safety
Partnership code","Community Safety
Partnership name",Local Authority code,Local Authority name,"Total recorded crime
 (excluding fraud)",Violence against the person,Homicide,Death or serious injury caused by illegal driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
W15000004,Dyfed-Powys,W14000007,Powys,W06000023,Powys,"7,794 ","3,791 ",0 ,10 ,785 ,"1,486 ","1,510 ",384 ,13 ,"1,379 ",402 ,272 ,130 ,181 ,21 ,29 ,254 ,492 ,755 ,334 ,101 ,833 ,204 
W15000004,Dyfed-Powys,,Unassigned Dyfed-Powys,,,"2,966 ","1,327 ",1 ,4 ,273 ,510 ,539 ,140 ,10 ,491 ,93 ,65 ,28 ,70 ,17 ,12 ,120 ,179 ,338 ,163 ,45 ,358 ,94 
E23000028,Essex,,,,,"144,025 ","56,985 ",11 ,76 ,"13,798 ","25,784 ","17,316 ","6,060 ","1,275 ","44,609 ","5,529 ","3,807 ","1,722 ","11,343 ","1,082 ","1,194 ","14,789 ","10,672 ","12,745 ","6,288 ","1,594 ","11,078 ","3,391 "
E23000028,Essex,E22000079,Basildon,E07000066,Basildon,"16,434 ","6,307 ",0 ,10 ,"1,478 ","2,886 ","1,933 ",599 ,146 ,"5,326 ",778 ,470 ,308 ,"1,699 ",92 ,89 ,"1,488 ","1,180 ","1,595 ",643 ,192 ,"1,246 ",380 
E23000028,Essex,E22000080,Braintree,E07000067,Braintree,"9,337 ","3,884 ",1 ,2 ,961 ,"1,657 ","1,263 ",489 ,47 ,"2,622 ",370 ,255 ,115 ,497 ,53 ,36 ,847 ,819 ,838 ,406 ,101 ,719 ,231 
E23000028,Essex,E22000081,Brentwood,E07000068,Brentwood,"4,977 ","1,472 ",2 ,2 ,367 ,647 ,454 ,151 ,44 ,"2,143 ",295 ,156 ,139 ,637 ,43 ,19 ,776 ,373 ,391 ,284 ,47 ,333 ,112 
E23000028,Essex,E22000082,Castle Point,E07000069,Castle Point,"4,886 ","2,025 ",0 ,4 ,460 ,931 ,630 ,188 ,42 ,"1,481 ",167 ,131 ,36 ,336 ,22 ,24 ,587 ,345 ,507 ,165 ,53 ,304 ,121 
E23000028,Essex,E22000083,Chelmsford,E07000070,Chelmsford,"13,484 ","5,403 ",1 ,10 ,"1,355 ","2,467 ","1,570 ",625 ,114 ,"4,108 ",528 ,391 ,137 ,796 ,137 ,162 ,"1,479 ","1,006 ",998 ,711 ,148 ,"1,039 ",338 
E23000028,Essex,E22000084,Colchester,E07000071,Colchester,"16,099 ","7,024 ",0 ,9 ,"1,658 ","3,415 ","1,942 ",809 ,137 ,"4,491 ",548 ,409 ,139 ,847 ,122 ,311 ,"1,560 ","1,103 ","1,346 ",540 ,166 ,"1,293 ",293 
E23000028,Essex,E22000085,Epping Forest,E07000072,Epping Forest,"9,001 ","3,054 ",2 ,9 ,721 ,"1,346 ",976 ,228 ,107 ,"3,511 ",551 ,340 ,211 ,"1,145 ",78 ,26 ,"1,081 ",630 ,706 ,454 ,67 ,664 ,210 
E23000028,Essex,E22000086,Harlow,E07000073,Harlow,"9,174 ","3,558 ",1 ,0 ,813 ,"1,664 ","1,080 ",330 ,103 ,"2,630 ",255 ,182 ,73 ,729 ,95 ,82 ,844 ,625 ,828 ,572 ,119 ,820 ,214 
E23000028,Essex,E22000087,Maldon,E07000074,Maldon,"3,011 ","1,406 ",0 ,5 ,366 ,538 ,497 ,135 ,8 ,690 ,119 ,76 ,43 ,157 ,5 ,6 ,175 ,228 ,248 ,149 ,34 ,256 ,85 
E23000028,Essex,E22000088,Rochford,E07000075,Rochford,"3,902 ","1,802 ",0 ,2 ,449 ,744 ,607 ,150 ,22 ,963 ,167 ,130 ,37 ,251 ,23 ,15 ,224 ,283 ,334 ,140 ,63 ,322 ,106 
E23000028,Essex,E22000089,Southend-on-Sea,E06000033,Southend-on-Sea,"17,211 ","7,154 ",1 ,7 ,"1,756 ","3,430 ","1,960 ",762 ,206 ,"4,840 ",534 ,410 ,124 ,"1,147 ",139 ,194 ,"1,721 ","1,105 ","1,377 ",893 ,230 ,"1,359 ",390 
E23000028,Essex,E22000090,Tendring,E07000076,Tendring,"12,687 ","5,853 ",1 ,5 ,"1,497 ","2,588 ","1,762 ",605 ,81 ,"3,002 ",397 ,293 ,104 ,568 ,63 ,77 ,"1,037 ",860 ,"1,341 ",330 ,133 ,"1,035 ",307 
E23000028,Essex,E22000091,Thurrock,E06000034,Thurrock,"15,436 ","5,114 ",1 ,3 ,"1,266 ","2,316 ","1,528 ",444 ,175 ,"5,949 ",467 ,328 ,139 ,"1,877 ",109 ,98 ,"2,311 ","1,087 ","1,500 ",686 ,118 ,"1,105 ",345 
E23000028,Essex,,Unassigned Essex,,,"3,449 ","1,192 ",1 ,4 ,251 ,394 ,542 ,368 ,28 ,"1,082 ",105 ,78 ,27 ,246 ,28 ,38 ,262 ,403 ,269 ,122 ,33 ,233 ,122 
E23000028,Essex,E22000092,Uttlesford,E07000077,Uttlesford,"4,937 ","1,737 ",0 ,4 ,400 ,761 ,572 ,177 ,15 ,"1,771 ",248 ,158 ,90 ,411 ,73 ,17 ,397 ,625 ,467 ,193 ,90 ,350 ,137 
E23000037,Gloucestershire,,,,,"45,527 ","19,100 ",8 ,34 ,"4,467 ","7,399 ","7,192 ","2,086 ",415 ,"13,084 ","2,187 ","1,605 ",582 ,"2,288 ",223 ,607 ,"4,271 ","3,508 ","3,533 ","1,209 ",421 ,"4,199 ","1,480 "
E23000037,Gloucestershire,E22000093,Cheltenham,E07000078,Cheltenham,"9,674 ","3,416 ",3 ,3 ,859 ,"1,360 ","1,191 ",348 ,109 ,"3,532 ",454 ,324 ,130 ,757 ,60 ,225 ,"1,278 ",758 ,785 ,256 ,87 ,877 ,264 
E23000037,Gloucestershire,E22000094,Cotswold,E07000079,Cotswold,"4,044 ","1,658 ",0 ,10 ,368 ,619 ,661 ,161 ,18 ,"1,246 ",323 ,237 ,86 ,299 ,26 ,16 ,195 ,387 ,347 ,94 ,28 ,345 ,147 
E23000037,Gloucestershire,E22000095,Forest of Dean,E07000080,Forest of Dean,"4,324 ","2,108 ",0 ,3 ,485 ,735 ,885 ,202 ,18 ,938 ,235 ,191 ,44 ,156 ,7 ,22 ,166 ,352 ,386 ,84 ,37 ,379 ,172 
E23000037,Gloucestershire,E22000096,Gloucester,E07000081,Gloucester,"15,119 ","6,430 ",4 ,5 ,"1,551 ","2,655 ","2,215 ",540 ,198 ,"4,272 ",637 ,463 ,174 ,503 ,89 ,265 ,"1,799 ",979 ,"1,038 ",497 ,167 ,"1,563 ",414 
E23000037,Gloucestershire,E22000097,Stroud,E07000082,Stroud,"6,146 ","2,779 ",0 ,7 ,638 ,"1,036 ","1,098 ",278 ,33 ,"1,589 ",289 ,215 ,74 ,332 ,17 ,41 ,449 ,461 ,547 ,148 ,52 ,502 ,218 
E23000037,Gloucestershire,E22000098,Tewkesbury,E07000083,Tewkesbury,"4,890 ","2,142 ",1 ,6 ,427 ,780 ,928 ,207 ,19 ,"1,322 ",232 ,172 ,60 ,217 ,4 ,34 ,365 ,470 ,402 ,112 ,42 ,444 ,200 
E23000037,Gloucestershire,,Unassigned Gloucestershire,,,"1,330 ",567 ,0 ,0 ,139 ,214 ,214 ,350 ,20 ,185 ,17 ,3 ,14 ,24 ,20 ,4 ,19 ,101 ,28 ,18 ,8 ,89 ,65 
E23000005,Greater Manchester,,,,,"316,913 ","125,139 ",26 ,111 ,"27,785 ","53,782 ","43,435 ","12,109 ","4,591 ","82,416 ","13,069 ","9,682 ","3,387 ","17,435 ","4,489 ","2,474 ","21,095 ","23,854 ","26,015 ","16,937 ","5,034 ","35,407 ","9,265 "
E23000005,Greater Manchester,E22000099,Bolton,E08000001,Bolton,"31,129 ","13,132 ",1 ,11 ,"2,852 ","5,526 ","4,742 ","1,200 ",411 ,"7,451 ","1,263 ",957 ,306 ,"1,478 ",189 ,126 ,"2,149 ","2,246 ","2,468 ","1,481 ",501 ,"3,480 ","1,005 "
E23000005,Greater Manchester,E22000100,Bury,E08000002,Bury,"18,490 ","7,639 ",3 ,3 ,"1,678 ","3,258 ","2,697 ",779 ,196 ,"4,326 ",814 ,602 ,212 ,859 ,85 ,78 ,"1,243 ","1,247 ","1,586 ","1,104 ",248 ,"2,138 ",474 
E23000005,Greater Manchester,E22000101,Manchester,E08000003,Manchester,"85,180 ","30,756 ",10 ,29 ,"7,169 ","14,457 ","9,091 ","3,140 ","1,792 ","25,067 ","3,347 ","2,332 ","1,015 ","5,017 ","3,238 ","1,088 ","4,945 ","7,432 ","6,021 ","5,567 ","1,407 ","9,375 ","2,055 "
E23000005,Greater Manchester,,Manchester Airport,,,"1,516 ",205 ,0 ,0 ,47 ,137 ,21 ,27 ,3 ,807 ,2 ,0 ,2 ,135 ,46 ,8 ,142 ,474 ,58 ,57 ,136 ,133 ,90 
E23000005,Greater Manchester,E22000102,Oldham,E08000004,Oldham,"27,222 ","11,639 ",2 ,7 ,"2,597 ","4,907 ","4,126 ","1,135 ",348 ,"6,336 ",941 ,730 ,211 ,"1,719 ",125 ,132 ,"1,615 ","1,804 ","2,267 ","1,307 ",489 ,"2,870 ",831 
E23000005,Greater Manchester,E22000103,Rochdale,E08000005,Rochdale,"25,518 ","10,434 ",3 ,7 ,"2,231 ","4,105 ","4,088 ","1,038 ",266 ,"6,347 ","1,051 ",755 ,296 ,"1,597 ",116 ,78 ,"1,784 ","1,721 ","2,145 ","1,096 ",342 ,"3,036 ",814 
E23000005,Greater Manchester,E22000104,Salford,E08000006,Salford,"31,166 ","12,242 ",3 ,15 ,"2,620 ","5,320 ","4,284 ","1,204 ",421 ,"7,596 ","1,322 ",983 ,339 ,"1,635 ",186 ,265 ,"1,906 ","2,282 ","2,905 ","2,100 ",495 ,"3,282 ",921 
E23000005,Greater Manchester,E22000105,Stockport,E08000007,Stockport,"23,194 ","9,003 ",1 ,3 ,"1,939 ","3,911 ","3,149 ",859 ,398 ,"6,205 ","1,070 ",798 ,272 ,"1,094 ",120 ,176 ,"2,078 ","1,667 ","2,050 ",899 ,342 ,"2,738 ",700 
E23000005,Greater Manchester,E22000106,Tameside,E08000008,Tameside,"23,682 ","9,926 ",0 ,13 ,"2,162 ","4,011 ","3,740 ",908 ,246 ,"5,611 ","1,106 ",879 ,227 ,"1,220 ",108 ,119 ,"1,537 ","1,521 ","2,026 ","1,051 ",366 ,"2,787 ",761 
E23000005,Greater Manchester,E22000107,Trafford,E08000009,Trafford,"18,009 ","6,441 ",0 ,6 ,"1,369 ","2,864 ","2,202 ",608 ,224 ,"5,699 ",859 ,667 ,192 ,"1,139 ",148 ,199 ,"1,904 ","1,450 ","1,405 ",926 ,250 ,"2,005 ",451 
E23000005,Greater Manchester,,Unassigned Greater Manchester,,,222 ,114 ,0 ,0 ,23 ,21 ,70 ,20 ,1 ,22 ,1 ,1 ,0 ,9 ,0 ,0 ,1 ,11 ,14 ,28 ,3 ,8 ,12 
E23000005,Greater Manchester,E22000108,Wigan,E08000010,Wigan,"31,585 ","13,608 ",3 ,17 ,"3,098 ","5,265 ","5,225 ","1,191 ",285 ,"6,949 ","1,293 ",978 ,315 ,"1,533 ",128 ,205 ,"1,791 ","1,999 ","3,070 ","1,321 ",455 ,"3,555 ","1,151 "
W15000002,Gwent,,,,,"56,961 ","22,399 ",3 ,8 ,"6,030 ","8,336 ","8,022 ","2,015 ",351 ,"13,496 ","2,121 ","1,441 ",680 ,"2,595 ",174 ,275 ,"4,622 ","3,709 ","6,973 ","1,839 ",484 ,"7,482 ","1,922 "
W15000002,Gwent,W14000019,Blaenau Gwent,W06000019,Blaenau Gwent,"7,991 ","3,212 ",1 ,0 ,834 ,"1,155 ","1,222 ",214 ,28 ,"1,741 ",278 ,193 ,85 ,453 ,15 ,25 ,471 ,499 ,"1,195 ",187 ,72 ,"1,087 ",255 
W15000002,Gwent,W14000018,Caerphilly,W06000018,Caerphilly,"14,882 ","6,238 ",0 ,2 ,"1,672 ","2,096 ","2,468 ",572 ,54 ,"2,870 ",493 ,334 ,159 ,677 ,20 ,33 ,687 ,960 ,"1,915 ",520 ,139 ,"2,082 ",492 
W15000002,Gwent,W14000021,Monmouthshire,W06000021,Monmouthshire,"5,907 ","2,192 ",0 ,1 ,652 ,822 ,717 ,262 ,26 ,"1,673 ",283 ,185 ,98 ,245 ,21 ,17 ,526 ,581 ,612 ,195 ,45 ,715 ,187 
W15000002,Gwent,W14000022,Newport,W06000022,Newport,"18,878 ","6,815 ",1 ,1 ,"1,869 ","2,803 ","2,141 ",605 ,192 ,"5,245 ",715 ,457 ,258 ,935 ,98 ,181 ,"2,156 ","1,160 ","2,149 ",702 ,156 ,"2,358 ",656 
W15000002,Gwent,W14000020,Torfaen,W06000020,Torfaen,"9,302 ","3,942 ",1 ,4 ,"1,003 ","1,460 ","1,474 ",362 ,51 ,"1,966 ",352 ,272 ,80 ,285 ,20 ,19 ,781 ,509 ,"1,102 ",235 ,72 ,"1,240 ",332 
W15000003,Gwent,,Unassigned Gwent,,,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
E23000030,Hampshire,,,,,"155,217 ","63,738 ",16 ,145 ,"18,165 ","24,631 ","20,781 ","7,230 ","1,126 ","43,479 ","6,035 ","3,889 ","2,146 ","7,908 ","1,036 ","1,620 ","16,203 ","10,677 ","12,999 ","6,359 ","2,059 ","14,984 ","3,243 "
E23000030,Hampshire,E22000110,East Hampshire,E07000085,East Hampshire,"5,732 ","2,421 ",3 ,7 ,659 ,877 ,875 ,263 ,20 ,"1,612 ",299 ,164 ,135 ,341 ,27 ,25 ,415 ,505 ,544 ,157 ,57 ,520 ,138 
E23000030,Hampshire,E22000111,Eastleigh,E07000086,Eastleigh,"7,951 ","3,383 ",1 ,9 ,884 ,"1,283 ","1,206 ",391 ,38 ,"2,258 ",270 ,161 ,109 ,461 ,17 ,61 ,849 ,600 ,647 ,228 ,81 ,750 ,175 
E23000030,Hampshire,E22000112,Fareham,E07000087,Fareham,"5,825 ","2,391 ",0 ,4 ,639 ,879 ,869 ,279 ,32 ,"1,677 ",198 ,133 ,65 ,235 ,33 ,89 ,695 ,427 ,452 ,205 ,87 ,578 ,124 
E23000030,Hampshire,E22000113,Gosport,E07000088,Gosport,"6,484 ","2,967 ",1 ,4 ,770 ,"1,076 ","1,116 ",352 ,25 ,"1,540 ",181 ,137 ,44 ,310 ,28 ,75 ,530 ,416 ,560 ,235 ,81 ,580 ,144 
E23000030,Hampshire,E22000115,Havant,E07000090,Havant,"9,789 ","4,366 ",0 ,3 ,"1,160 ","1,655 ","1,548 ",402 ,67 ,"2,371 ",240 ,163 ,77 ,381 ,46 ,66 ,991 ,647 ,869 ,338 ,140 ,"1,014 ",222 
E23000030,Hampshire,E22000116,Isle of Wight,E06000046,Isle of Wight,"10,852 ","5,120 ",0 ,9 ,"1,428 ","1,889 ","1,794 ",573 ,41 ,"2,301 ",275 ,160 ,115 ,163 ,57 ,42 ,"1,091 ",673 ,904 ,450 ,157 ,"1,070 ",236 
E23000030,Hampshire,E22000117,New Forest,E07000091,New Forest,"10,066 ","3,711 ",0 ,15 ,"1,038 ","1,320 ","1,338 ",467 ,54 ,"3,247 ",645 ,408 ,237 ,611 ,45 ,100 ,"1,061 ",785 ,"1,061 ",257 ,109 ,951 ,209 
E23000030,Hampshire,E22000374,North Hampshire,Combined Local Authorities,,"24,011 ","9,870 ",2 ,34 ,"2,825 ","3,822 ","3,187 ","1,017 ",154 ,"6,924 ","1,004 ",695 ,309 ,"1,479 ",139 ,169 ,"2,429 ","1,704 ","2,153 ",782 ,266 ,"2,356 ",489 
E23000030,Hampshire,E22000118,Portsmouth,E06000044,Portsmouth,"24,572 ","10,017 ",1 ,15 ,"3,134 ","3,940 ","2,927 ","1,082 ",266 ,"6,862 ",687 ,477 ,210 ,"1,022 ",186 ,456 ,"2,988 ","1,523 ","1,899 ","1,190 ",414 ,"2,425 ",417 
E23000030,Hampshire,E22000120,Southampton,E06000045,Southampton,"31,345 ","12,283 ",2 ,12 ,"3,580 ","5,090 ","3,599 ","1,341 ",337 ,"9,518 ","1,365 ",863 ,502 ,"1,851 ",310 ,411 ,"3,590 ","1,991 ","2,420 ","1,532 ",473 ,"2,882 ",559 
E23000030,Hampshire,E22000121,Test Valley,E07000093,Test Valley,"7,306 ","2,877 ",1 ,15 ,785 ,"1,105 ",971 ,390 ,32 ,"2,189 ",415 ,256 ,159 ,432 ,37 ,46 ,726 ,533 ,634 ,335 ,65 ,614 ,170 
E23000030,Hampshire,,Unassigned Hampshire,,,"3,975 ","1,502 ",2 ,3 ,437 ,628 ,432 ,346 ,28 ,796 ,104 ,30 ,74 ,178 ,45 ,31 ,193 ,245 ,301 ,231 ,68 ,556 ,147 
E23000030,Hampshire,E22000122,Winchester,E07000094,Winchester,"7,309 ","2,830 ",3 ,15 ,826 ,"1,067 ",919 ,327 ,32 ,"2,184 ",352 ,242 ,110 ,444 ,66 ,49 ,645 ,628 ,555 ,419 ,61 ,688 ,213 
E23000027,Hertfordshire,,,,,"83,843 ","31,769 ",8 ,80 ,"8,070 ","13,055 ","10,556 ","3,081 ","1,128 ","30,436 ","3,975 ","2,989 ",986 ,"6,309 ",988 ,853 ,"9,990 ","8,321 ","6,976 ","2,321 ",770 ,"5,565 ","1,797 "
E23000027,Hertfordshire,E22000123,Broxbourne,E07000095,Broxbourne,"6,815 ","2,563 ",0 ,5 ,603 ,"1,056 ",899 ,178 ,122 ,"2,648 ",240 ,170 ,70 ,575 ,103 ,50 ,930 ,750 ,491 ,197 ,73 ,403 ,140 
E23000027,Hertfordshire,E22000124,Dacorum,E07000096,Dacorum,"11,248 ","4,338 ",1 ,10 ,"1,026 ","1,746 ","1,555 ",415 ,172 ,"4,115 ",660 ,527 ,133 ,988 ,109 ,52 ,"1,305 ","1,001 ",944 ,242 ,78 ,668 ,276 
E23000027,Hertfordshire,E22000125,East Hertfordshire,E07000242,East Hertfordshire,"8,030 ","3,231 ",0 ,8 ,852 ,"1,280 ","1,091 ",276 ,71 ,"2,704 ",466 ,328 ,138 ,680 ,70 ,91 ,685 ,712 ,692 ,227 ,63 ,566 ,200 
E23000027,Hertfordshire,E22000126,Hertsmere,E07000098,Hertsmere,"8,475 ","2,975 ",3 ,11 ,749 ,"1,201 ","1,011 ",218 ,118 ,"3,363 ",408 ,305 ,103 ,762 ,80 ,46 ,"1,074 ",993 ,664 ,331 ,89 ,554 ,163 
E23000027,Hertfordshire,E22000127,North Hertfordshire,E07000099,North Hertfordshire,"7,258 ","2,946 ",0 ,4 ,748 ,"1,168 ","1,026 ",323 ,59 ,"2,365 ",352 ,235 ,117 ,431 ,62 ,55 ,749 ,716 ,652 ,180 ,59 ,507 ,167 
E23000027,Hertfordshire,E22000128,St Albans,E07000240,St Albans,"9,429 ","3,138 ",0 ,12 ,867 ,"1,313 ",946 ,288 ,128 ,"4,069 ",470 ,374 ,96 ,748 ,85 ,105 ,"1,521 ","1,140 ",849 ,180 ,74 ,561 ,142 
E23000027,Hertfordshire,E22000129,Stevenage,E07000243,Stevenage,"7,716 ","3,301 ",0 ,5 ,904 ,"1,447 ",945 ,342 ,73 ,"2,146 ",208 ,141 ,67 ,286 ,83 ,82 ,737 ,750 ,690 ,234 ,94 ,660 ,176 
E23000027,Hertfordshire,E22000130,Three Rivers,E07000102,Three Rivers,"5,035 ","1,954 ",2 ,5 ,478 ,782 ,687 ,184 ,71 ,"1,758 ",293 ,251 ,42 ,406 ,25 ,29 ,523 ,482 ,470 ,110 ,28 ,341 ,119 
E23000027,Hertfordshire,,Unassigned Hertfordshire,,,"1,226 ",452 ,0 ,3 ,80 ,133 ,236 ,129 ,13 ,340 ,41 ,23 ,18 ,58 ,18 ,8 ,91 ,124 ,68 ,76 ,12 ,78 ,58 
E23000027,Hertfordshire,E22000131,Watford,E07000103,Watford,"8,922 ","3,116 ",0 ,6 ,839 ,"1,401 ",870 ,344 ,174 ,"3,420 ",372 ,281 ,91 ,690 ,228 ,158 ,"1,100 ",872 ,701 ,268 ,108 ,630 ,161 
E23000027,Hertfordshire,E22000132,Welwyn Hatfield,E07000241,Welwyn Hatfield,"9,689 ","3,755 ",2 ,11 ,924 ,"1,528 ","1,290 ",384 ,127 ,"3,508 ",465 ,354 ,111 ,685 ,125 ,177 ,"1,275 ",781 ,755 ,276 ,92 ,597 ,195 
E23000012,Humberside [note 4],,,,,"92,817 ","38,047 ",4 ,7 ,"10,772 ","12,802 ","14,462 ","3,407 ",850 ,"25,359 ","4,869 ","3,704 ","1,165 ","3,277 ",457 ,"1,248 ","9,193 ","6,315 ","9,415 ","2,628 ",933 ,"9,416 ","2,762 "
E23000012,Humberside,E22000133,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,"18,236 ","7,753 ",3 ,0 ,"2,148 ","2,442 ","3,160 ",746 ,78 ,"4,846 ",981 ,729 ,252 ,656 ,58 ,176 ,"1,571 ","1,404 ","1,740 ",397 ,166 ,"1,946 ",564 
E23000012,Humberside,E22000134,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of","32,600 ","13,532 ",1 ,1 ,"3,755 ","4,678 ","5,097 ","1,153 ",357 ,"9,096 ","1,913 ","1,590 ",323 ,"1,115 ",231 ,563 ,"2,974 ","2,300 ","3,094 ",845 ,297 ,"3,276 ",950 
E23000012,Humberside,E22000135,North East Lincolnshire,E06000012,North East Lincolnshire,"18,152 ","7,394 ",0 ,1 ,"2,065 ","2,374 ","2,954 ",636 ,144 ,"4,617 ",884 ,691 ,193 ,720 ,64 ,261 ,"1,625 ","1,063 ","2,314 ",519 ,174 ,"1,734 ",620 
E23000012,Humberside,E22000136,North Lincolnshire,E06000013,North Lincolnshire,"13,446 ","5,446 ",0 ,2 ,"1,519 ","1,590 ","2,335 ",545 ,110 ,"3,757 ",780 ,539 ,241 ,577 ,39 ,108 ,"1,265 ",988 ,"1,371 ",388 ,140 ,"1,276 ",413 
E23000012,Humberside,,Unassigned Humberside,,,"10,383 ","3,922 ",0 ,3 ,"1,285 ","1,718 ",916 ,327 ,161 ,"3,043 ",311 ,155 ,156 ,209 ,65 ,140 ,"1,758 ",560 ,896 ,479 ,156 ,"1,184 ",215 
E23000032,Kent,,,,,"160,259 ","67,038 ",14 ,104 ,"15,791 ","30,979 ","20,150 ","6,748 ","1,068 ","45,193 ","5,355 ","3,941 ","1,414 ","8,430 ",981 ,"1,010 ","17,169 ","12,248 ","17,394 ","6,748 ","1,818 ","8,605 ","5,647 "
E23000032,Kent,E22000137,Ashford,E07000105,Ashford,"9,789 ","4,185 ",0 ,8 ,927 ,"1,815 ","1,435 ",413 ,34 ,"2,819 ",317 ,234 ,83 ,377 ,43 ,64 ,"1,238 ",780 ,"1,016 ",339 ,116 ,548 ,319 
E23000032,Kent,E22000138,Canterbury,E07000106,Canterbury,"14,603 ","5,799 ",2 ,6 ,"1,352 ","2,831 ","1,608 ",514 ,121 ,"4,721 ",439 ,307 ,132 ,702 ,109 ,152 ,"2,234 ","1,085 ","1,409 ",684 ,168 ,766 ,421 
E23000032,Kent,E22000352,Dartford and Gravesham,Combined Local Authorities,,"22,451 ","8,306 ",2 ,19 ,"1,918 ","4,048 ","2,319 ",780 ,183 ,"7,496 ",807 ,586 ,221 ,"1,703 ",194 ,95 ,"2,943 ","1,754 ","2,406 ","1,248 ",220 ,"1,129 ",683 
E23000032,Kent,E22000140,Dover,E07000108,Dover,"9,574 ","4,399 ",0 ,6 ,"1,036 ","1,978 ","1,379 ",422 ,52 ,"2,205 ",257 ,189 ,68 ,423 ,46 ,53 ,756 ,670 ,"1,127 ",358 ,132 ,523 ,356 
E23000032,Kent,E22000145,Folkestone and Hythe,E07000112,Folkestone and Hythe,"8,547 ","3,840 ",0 ,4 ,984 ,"1,669 ","1,183 ",388 ,36 ,"2,063 ",258 ,183 ,75 ,260 ,47 ,45 ,760 ,693 ,940 ,393 ,89 ,527 ,271 
E23000032,Kent,E22000142,Maidstone,E07000110,Maidstone,"14,672 ","6,169 ",1 ,10 ,"1,558 ","2,799 ","1,801 ",613 ,95 ,"4,045 ",437 ,333 ,104 ,724 ,92 ,87 ,"1,568 ","1,137 ","1,628 ",626 ,180 ,780 ,536 
E23000032,Kent,E22000143,Medway,E06000035,Medway,"27,321 ","11,781 ",1 ,6 ,"2,614 ","5,641 ","3,519 ","1,240 ",247 ,"7,161 ",854 ,664 ,190 ,"1,363 ",197 ,204 ,"2,530 ","2,013 ","2,924 ","1,087 ",327 ,"1,561 ",993 
E23000032,Kent,E22000144,Sevenoaks,E07000111,Sevenoaks,"6,829 ","2,496 ",1 ,6 ,581 ,"1,132 ",776 ,244 ,24 ,"2,376 ",490 ,378 ,112 ,616 ,32 ,28 ,571 ,639 ,833 ,283 ,50 ,292 ,231 
E23000032,Kent,E22000146,Swale,E07000113,Swale,"14,254 ","6,353 ",1 ,11 ,"1,582 ","2,917 ","1,842 ",591 ,94 ,"3,716 ",482 ,333 ,149 ,617 ,59 ,74 ,"1,497 ",987 ,"1,690 ",367 ,176 ,710 ,557 
E23000032,Kent,E22000147,Thanet,E07000114,Thanet,"15,294 ","7,177 ",2 ,19 ,"1,729 ","3,290 ","2,137 ",619 ,83 ,"3,714 ",427 ,326 ,101 ,637 ,92 ,124 ,"1,305 ","1,129 ","1,512 ",658 ,178 ,839 ,514 
E23000032,Kent,E22000148,Tonbridge and Malling,E07000115,Tonbridge and Malling,"7,889 ","3,067 ",1 ,5 ,700 ,"1,290 ","1,071 ",282 ,36 ,"2,336 ",294 ,216 ,78 ,567 ,23 ,47 ,800 ,605 ,"1,043 ",325 ,86 ,413 ,301 
E23000032,Kent,E22000149,Tunbridge Wells,E07000116,Tunbridge Wells,"6,999 ","2,803 ",2 ,3 ,658 ,"1,241 ",899 ,272 ,44 ,"2,204 ",274 ,178 ,96 ,368 ,31 ,32 ,919 ,580 ,769 ,224 ,66 ,397 ,220 
E23000032,Kent,,Unassigned Kent,,,"2,037 ",663 ,1 ,1 ,152 ,328 ,181 ,370 ,19 ,337 ,19 ,14 ,5 ,73 ,16 ,5 ,48 ,176 ,97 ,156 ,30 ,120 ,245 
E23000003,Lancashire,,,,,"128,435 ","54,647 ",13 ,13 ,"16,867 ","21,063 ","16,691 ","5,834 ","1,345 ","35,933 ","6,634 ","4,296 ","2,338 ","7,279 ",680 ,"1,025 ","10,606 ","9,709 ","13,171 ","3,918 ","1,672 ","8,072 ","3,843 "
