House of Commons General Election 2024 results by constituency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Note 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS ID,ONS region ID,Constituency name,Region name,Country name,Constituency type,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,
S14000067,S92000003,"Argyll, Bute and South Lochaber",Scotland,Scotland,County,Brendan,O'Hara,Male,SNP hold,SNP,Con,"71,756","44,862",216,"6,232","9,350","8,585","7,359","3,045",0,"15,582",0,0,0,0,0,0,941,0,
E14001067,E12000008,Arundel and South Downs,South East,England,County,Andrew,Griffith,Male,Con hold,Con,LD,"77,969","54,740",214,"12,134","22,001","9,782","9,867","7,391","5,515",0,0,0,0,0,0,0,184,0,
E14001068,E12000004,Ashfield,East Midlands,England,County,Lee,Anderson,Male,RUK gain from Con,RUK,Lab,"68,929","39,882",102,"5,508","3,271","11,554",619,"17,062","1,100",0,0,0,0,0,0,0,"6,276",0,
E14001069,E12000008,Ashford,South East,England,County,Sojan,Joseph,Male,Lab gain from Con,Lab,Con,"76,233","46,975",164,"1,779","13,483","15,262","2,445","10,141","4,355",0,0,0,0,0,0,0,"1,289",0,
E14001070,E12000002,Ashton-under-Lyne,North West,England,Borough,Angela,Rayner,Female,Lab hold,Lab,RUK,"71,002","35,461",136,"6,791","4,375","15,575","1,411","8,784","2,481",0,0,0,0,0,0,0,"2,835",0,
E14001071,E12000008,Aylesbury,South East,England,County,Laura,Kyrke-Smith,Female,Lab gain from Con,Lab,Con,"79,169","49,940",213,630,"14,451","15,081","10,440","6,746","2,590",0,0,0,0,0,0,0,632,0,
S14000107,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,County,Elaine,Stewart,Female,Lab gain from SNP,Lab,SNP,"70,340","40,936",120,"4,154","9,247","14,930","1,081","3,544",886,"10,776",0,0,0,0,0,0,472,0,
E14001072,E12000008,Banbury,South East,England,County,Sean,Woodcock,Male,Lab gain from Con,Lab,Con,"73,250","48,178",187,"3,256","15,212","18,468","4,352","6,284","2,615",0,0,0,0,0,0,0,"1,247",0,
W07000083,W92000004,Bangor Aberconwy,Wales,Wales,County,Claire,Hughes,Female,Lab gain from Con,Lab,PC,"70,527","41,660",154,"4,896","9,036","14,008","1,524","6,091","1,361",0,"9,112",0,0,0,0,0,528,0,
E14001073,E12000007,Barking,London,England,Borough,Nesil,Caliskan,Female,Lab hold,Lab,RUK,"79,822","36,477",120,"11,054","4,294","16,227","1,015","5,173","4,988",0,0,0,0,0,0,0,"4,780",0,
E14001074,E12000003,Barnsley North,Yorkshire and The Humber,England,County,Dan,Jarvis,Male,Lab hold,Lab,RUK,"78,274","36,894",114,"7,811","3,083","18,610","1,336","10,799","1,805",0,0,0,0,0,0,0,"1,261",0,
E14001075,E12000003,Barnsley South,Yorkshire and The Humber,England,County,Stephanie,Peacock,Female,Lab hold,Lab,RUK,"75,853","35,082",78,"4,748","3,247","16,399","1,172","11,651","1,521",0,0,0,0,0,0,0,"1,092",0,
E14001076,E12000002,Barrow and Furness,North West,England,County,Michelle,Scrogham,Female,Lab gain from Con,Lab,Con,"74,980","42,221",141,"5,324","13,213","18,537","1,680","7,035","1,466",0,0,0,0,0,0,0,290,0,
E14001077,E12000006,Basildon and Billericay,East of England,England,Borough,Richard,Holden,Male,Con hold,Con,Lab,"76,873","42,124",176,20,"12,905","12,885","2,292","11,354","2,123",0,0,0,0,0,0,0,565,0,
E14001078,E12000008,Basingstoke,South East,England,Borough,Luke,Murphy,Male,Lab gain from Con,Lab,Con,"78,487","48,989",189,"6,484","14,438","20,922","3,176","6,314","3,568",0,0,0,0,0,0,0,571,0,
E14001079,E12000004,Bassetlaw,East Midlands,England,County,Jo,White,Female,Lab gain from Con,Lab,Con,"78,161","44,878",150,"5,768","12,708","18,476","1,996","9,751","1,947",0,0,0,0,0,0,0,0,0,
E14001080,E12000009,Bath,South West,England,County,Wera,Hobhouse,Female,LD hold,LD,Lab,"69,662","48,130",192,"11,218","7,659","8,665","19,883","3,798","5,952",0,0,0,0,0,0,0,"2,173",0,
S14000068,S92000003,Bathgate and Linlithgow,Scotland,Scotland,County,Kirsteen,Sullivan,Female,Lab gain from SNP,Lab,SNP,"72,185","42,065",92,"8,323","3,144","19,774","2,171","3,524","1,390","11,451",0,0,0,0,0,0,611,0,
E14001081,E12000007,Battersea,London,England,Borough,Marsha,De Cordova,Female,Lab hold,Lab,Con,"72,827","47,082",237,"12,039","10,944","22,983","4,826","2,825","4,239",0,0,0,0,0,0,0,"1,265",0,
E14001082,E12000008,Beaconsfield,South East,England,County,Joy,Morrissey,Female,Con hold,Con,LD,"72,751","47,726",162,"5,455","18,494","7,216","13,039","6,055","1,977",0,0,0,0,0,0,0,945,0,
E14001083,E12000007,Beckenham and Penge,London,England,Borough,Liam,Conlon,Male,Lab hold,Lab,Con,"77,198","52,222",218,"12,905","12,848","25,753","4,436","5,355","3,830",0,0,0,0,0,0,0,0,0,
E14001084,E12000006,Bedford,East of England,England,Borough,Mohammad,Yasin,Male,Lab hold,Lab,Con,"72,478","40,659",210,"9,430","8,912","18,342","4,025","4,548","2,394",0,0,0,0,0,0,0,"2,438",0,
N05000001,N92000002,Belfast East,Northern Ireland,Northern Ireland,Borough,Gavin,Robinson,Male,DUP hold,DUP,APNI,"72,917","42,706",184,"2,676",0,0,0,0,"1,077",0,0,"19,894",0,619,"1,818","17,218","2,080",0,
N05000002,N92000002,Belfast North,Northern Ireland,Northern Ireland,Borough,John,Finucane,Male,SF hold,SF,DUP,"74,240","40,452",293,"5,612",0,0,0,0,"1,206",0,0,"12,062","17,674","1,413",0,"4,274","3,823",0,
N05000003,N92000002,Belfast South and Mid Down,Northern Ireland,Northern Ireland,Borough,Claire,Hanna,Female,SDLP hold,SDLP,APNI,"74,749","43,491",266,"12,506",0,0,0,0,"1,577",0,0,"6,859",0,"21,345","2,653","8,839","2,218",0,
N05000004,N92000002,Belfast West,Northern Ireland,Northern Ireland,Borough,Paul,Maskey,Male,SF hold,SF,PBPA,"75,346","39,743",256,"15,961",0,0,0,0,451,0,0,"4,304","21,009","4,318",461,"1,077","8,123",0,
E14001085,E12000007,Bermondsey and Old Southwark,London,England,Borough,Neil,Coyle,Male,Lab hold,Lab,LD,"69,482","37,603",180,"7,787","2,879","16,857","9,070","3,397","4,477",0,0,0,0,0,0,0,923,0,
S14000108,S92000003,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,County,John,Lamont,Male,Con hold,Con,SNP,"76,438","46,558",138,"6,599","18,872","6,311","3,686","3,340","1,526","12,273",0,0,0,0,0,0,550,0,
E14001086,E12000007,Bethnal Green and Stepney,London,England,Borough,Rushanara,Ali,Female,Lab hold,Lab,Ind,"81,439","46,647",320,"1,689","1,920","15,896","4,777","1,964","6,391",0,0,0,0,0,0,0,"15,699",0,
E14001087,E12000003,Beverley and Holderness,Yorkshire and The Humber,England,County,Graham,Stuart,Male,Con hold,Con,Lab,"71,994","44,897",144,124,"15,501","15,377","3,386","8,198","1,647",0,0,0,0,0,0,0,788,0,
E14001088,E12000008,Bexhill and Battle,South East,England,County,Kieran,Mullan,Male,Con hold,Con,Lab,"72,198","47,750",188,"2,657","16,186","13,529","3,473","7,929","2,972",0,0,0,0,0,0,0,"3,661",0,
E14001089,E12000007,Bexleyheath and Crayford,London,England,Borough,Daniel,Francis,Male,Lab gain from Con,Lab,Con,"70,297","43,461",118,"2,114","13,603","15,717","2,204","9,861","2,076",0,0,0,0,0,0,0,0,0,
E14001090,E12000008,Bicester and Woodstock,South East,England,County,Calum,Miller,Male,LD gain from Con,LD,Con,"74,353","50,219",167,"4,958","14,461","8,236","19,419","5,408","2,404",0,0,0,0,0,0,0,291,0,
E14001091,E12000002,Birkenhead,North West,England,Borough,Alison,McGovern,Female,Lab hold,Lab,Green,"78,091","43,134",142,"13,798","3,238","22,468","2,292","6,142","8,670",0,0,0,0,0,0,0,324,0,
E14001092,E12000005,Birmingham Edgbaston,West Midlands,England,Borough,Preet,Gill,Female,Lab hold,Lab,Con,"71,787","37,428",179,"8,368","8,231","16,599","2,102","4,363","2,797",0,0,0,0,0,0,0,"3,336",0,
E14001093,E12000005,Birmingham Erdington,West Midlands,England,Borough,Paulette,Hamilton,Female,Lab hold,Lab,RUK,"77,463","34,137",152,"7,019","5,402","14,774","1,128","7,755","2,452",0,0,0,0,0,0,0,"2,626",0,
E14001094,E12000005,Birmingham Hall Green and Moseley,West Midlands,England,Borough,Tahir,Ali,Male,Lab hold,Lab,Ind,"76,936","41,606",256,"5,656","3,845","12,798","4,711","2,305","3,913",0,0,0,0,0,0,0,"14,034",0,
E14001095,E12000005,Birmingham Hodge Hill and Solihull North,West Midlands,England,Borough,Liam,Byrne,Male,Lab hold,Lab,WPB,"77,737","34,136",127,"1,566","4,634","10,655",942,"6,456","2,360",0,0,0,0,0,0,0,"9,089",0,
E14001096,E12000005,Birmingham Ladywood,West Midlands,England,Borough,Shabana,Mahmood,Female,Lab hold,Lab,Ind,"83,693","36,579",203,"3,421","2,218","15,558","1,711","1,477","3,478",0,0,0,0,0,0,0,"12,137",0,
E14001097,E12000005,Birmingham Northfield,West Midlands,England,Borough,Laurence,Turner,Male,Lab gain from Con,Lab,Con,"74,048","37,652",138,"5,389","9,540","14,929","1,791","7,895","2,809",0,0,0,0,0,0,0,688,0,
E14001098,E12000005,Birmingham Perry Barr,West Midlands,England,Borough,Ayoub,Khan,Male,Ind gain from Lab,Ind,Lab,"76,350","37,476",211,507,"4,227","12,796","1,302","2,446","2,440",0,0,0,0,0,0,0,"14,265","13,303",
E14001099,E12000005,Birmingham Selly Oak,West Midlands,England,Borough,Al,Carns,Male,Lab hold,Lab,Con,"75,678","38,423",144,"11,537","5,834","17,371","2,324","5,732","4,320",0,0,0,0,0,0,0,"2,842",0,
E14001100,E12000005,Birmingham Yardley,West Midlands,England,Borough,Jess,Phillips,Female,Lab hold,Lab,WPB,"73,203","36,144",128,693,"3,634","11,275","3,634","5,061","1,958",0,0,0,0,0,0,0,"10,582",0,
E14001101,E12000001,Bishop Auckland,North East,England,County,Sam,Rushworth,Male,Lab gain from Con,Lab,Con,"70,745","40,427",133,"6,672","10,364","17,036","1,373","9,466","1,857",0,0,0,0,0,0,0,331,0,
E14001102,E12000002,Blackburn,North West,England,Borough,Adnan,Hussain,Male,Ind gain from Lab,Ind,Lab,"73,263","38,887",163,132,"3,474","10,386",689,"4,844","1,416",0,0,0,0,0,0,0,"18,078","10,518",
E14001103,E12000002,Blackley and Middleton South,North West,England,Borough,Graham,Stringer,Male,Lab hold,Lab,RUK,"72,303","31,340",149,"10,250","3,073","16,864","1,592","6,614","3,197",0,0,0,0,0,0,0,0,0,
E14001104,E12000002,Blackpool North and Fleetwood,North West,England,Borough,Lorraine,Beavers,Female,Lab gain from Con,Lab,Con,"73,339","41,810",128,"4,647","12,097","16,744","1,318","9,913","1,269",0,0,0,0,0,0,0,469,0,
E14001105,E12000002,Blackpool South,North West,England,Borough,Chris,Webb,Male,Lab gain from Con,Lab,RUK,"77,460","35,180",129,"6,848","5,504","16,916","1,041","10,068","1,207",0,0,0,0,0,0,0,444,0,
W07000084,W92000004,Blaenau Gwent and Rhymney,Wales,Wales,County,Nick,Smith,Male,Lab hold,Lab,PC,"70,153","29,922",516,"12,183","3,776","16,027","1,268",0,"1,719",0,"3,844",0,0,0,0,0,"3,288",0,
E14001106,E12000001,Blaydon and Consett,North East,England,County,Liz,Twist,Female,Lab hold,Lab,RUK,"70,487","42,216",120,"11,153","6,052","21,160","2,273","10,007","2,589",0,0,0,0,0,0,0,135,0,
E14001107,E12000001,Blyth and Ashington,North East,England,County,Ian,Lavery,Male,Lab hold,Lab,RUK,"76,595","40,401",126,"9,173","6,121","20,030","1,433","10,857","1,960",0,0,0,0,0,0,0,0,0,
E14001108,E12000008,Bognor Regis and Littlehampton,South East,England,Borough,Alison,Griffiths,Female,Con hold,Con,Lab,"76,854","47,827",186,"1,765","15,678","13,913","5,081","10,262","2,185",0,0,0,0,0,0,0,708,0,
E14001109,E12000004,Bolsover,East Midlands,England,County,Natalie,Fleet,Female,Lab gain from Con,Lab,Con,"77,207","42,434",111,"6,323","10,874","17,197","1,478","9,131","3,754",0,0,0,0,0,0,0,0,0,
E14001110,E12000002,Bolton North East,North West,England,Borough,Kirith,Entwistle,Female,Lab gain from Con,Lab,Con,"80,011","43,359",148,"6,653","9,513","16,166","1,507","9,428","4,683",0,0,0,0,0,0,0,"2,062",0,
E14001111,E12000002,Bolton South and Walkden,North West,England,Borough,Yasmin,Qureshi,Female,Lab hold,Lab,RUK,"79,622","36,930",138,"6,743","4,170","15,093","1,384","8,350","2,827",0,0,0,0,0,0,0,"5,106",0,
E14001112,E12000002,Bolton West,North West,England,County,Phil,Brickell,Male,Lab gain from Con,Lab,Con,"74,933","44,598",180,"4,945","12,418","17,363","1,966","8,517","4,132",0,0,0,0,0,0,0,202,0,
E14001113,E12000002,Bootle,North West,England,Borough,Peter,Dowd,Male,Lab hold,Lab,RUK,"73,037","38,880",139,"21,983","1,674","26,729","1,301","4,746","3,904",0,0,0,0,0,0,0,526,0,
E14001114,E12000004,Boston and Skegness,East Midlands,England,County,Richard,Tice,Male,RUK gain from Con,RUK,Con,"75,811","40,455",128,"2,010","13,510","7,629","1,375","15,520","1,506",0,0,0,0,0,0,0,915,0,
E14001115,E12000009,Bournemouth East,South West,England,Borough,Tom,Hayes,Male,Lab gain from Con,Lab,Con,"72,354","44,910",143,"5,479","12,837","18,316","3,082","6,268","2,790",0,0,0,0,0,0,0,"1,617",0,
E14001116,E12000009,Bournemouth West,South West,England,Borough,Jessica,Toale,Female,Lab gain from Con,Lab,Con,"70,259","39,418",137,"3,224","11,141","14,365","4,311","6,647","2,614",0,0,0,0,0,0,0,340,0,
E14001117,E12000008,Bracknell,South East,England,Borough,Peter,Swallow,Male,Lab gain from Con,Lab,Con,"71,660","43,837",155,784,"13,999","14,783","4,768","7,445","2,166",0,0,0,0,0,0,0,676,0,
E14001118,E12000003,Bradford East,Yorkshire and The Humber,England,Borough,Imran,Hussain,Male,Lab hold,Lab,Ind,"75,164","37,216",148,"6,189","3,450","14,098","1,910","4,952","2,571",0,0,0,0,0,0,0,"10,235",0,
E14001119,E12000003,Bradford South,Yorkshire and The Humber,England,Borough,Judith,Cummins,Female,Lab hold,Lab,RUK,"70,999","33,042",91,"4,392","4,853","11,833",954,"7,441","3,366",0,0,0,0,0,0,0,"4,595",0,
E14001120,E12000003,Bradford West,Yorkshire and The Humber,England,Borough,Naz,Shah,Female,Lab hold,Lab,Ind,"77,897","37,081",219,707,"3,055","11,724",756,"2,958","3,690",0,0,0,0,0,0,0,"14,898",0,
E14001121,E12000006,Braintree,East of England,England,County,James,Cleverly,Male,Con hold,Con,Lab,"77,673","49,028",167,"3,670","17,414","13,744","2,879","11,346","2,878",0,0,0,0,0,0,0,767,0,
W07000085,W92000004,"Brecon, Radnor and Cwm Tawe",Wales,Wales,County,David,Chadwick,Male,LD gain from Con,LD,Con,"73,114","46,548",120,"1,472","12,264","9,904","13,736","6,567","1,188",0,"2,280",0,0,0,0,0,609,0,
E14001122,E12000007,Brent East,London,England,Borough,Dawn,Butler,Female,Lab hold,Lab,Con,"77,547","37,802",243,"13,047","6,323","19,370","2,635","2,024","3,729",0,0,0,0,0,0,0,"3,721",0,
